title,abstract,lcsh_subject_headings,Predicted_Label_Count,predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
museum activism,"""only a decade ago, the notion that museums, galleries and heritage organisations might engage in activist practice, with explicit intent to act upon inequalities, injustices and environmental crises, was met with scepticism and often derision seeking to purposefully bring about social change was viewed by many within and beyond the museum community as inappropriately political and antithetical to fundamental professional values today, although the idea remains controversial, the way we think about the roles and responsibilities of museums as knowledge-based, social institutions is changing museums and activism examines the increasing significance of this activist trend in thinking and practice at this crucial time in the evolution of museum thinking and practice, this ground-breaking volume brings together more than fifty contributors working across six continents to explore, analyse and critically reflect upon the museum's relationship to activism including contributions from practitioners, artists, activists and researchers, this wide-ranging examination of new and divergent expressions of the inherent power of museums as forces for good, and as activists in civil society, aims to encourage further experimentation and enrich the debate in this nascent and uncertain field of museum practice museum activism elucidates the largely untapped potential for museums as key intellectual and civic resources to address inequalities, injustice and environmental challenges this makes the book essential reading for scholars and students of museum and heritage studies, gallery studies, arts and heritage management and politics it will be a source of inspiration to museum practitioners and museum leaders around the globe""-- provided by publisher",museums; museums; museums; museum exhibits; social justice; social influence,3,"Activism in art, Community engagement, Cultural heritage and social responsibility, Cultural institutions and social change, Museum attendance, Museum ethics, Museum management, Museums, Nonprofit organizations and social change, Public history, Social justice, Social responsibility of museums and galleries","Freedom and art,Community life,Cultural property,Cultural control,Museum attendance,Theft from museums,Museum cooperation,Museums,Nonprofit organizations,Public history,Social justice,For-profit museums",0.50,0.17,0.48,0.63,12.00
mental-floss : the book : the greatest lists in the history of listory,"for ten years, the knowledge seekers at mental-floss have been hunting and trapping the world's rarest facts, locking them into captivating lists for the world to admire this book is packed with a decade's worth of the smartest, quirkiest stories around",lists,2,"Amusement and entertainment, General knowledge, Humor, Lists, Popular culture, Reference books, Trivia","Amusements,Knowledge, Theory of,Humor,Lists,Popular culture,Reference books,Trivia",1.00,0.12,1.00,0.33,8.00
snapshots of museum experience : understanding child visitors through photography,"""children are one of the major audiences for museums, but their visits are often seen solely from the point of view of museum learning in snapshots of museum experience, will buckingham draws upon elee kirk's research amongst child visitors to the oxford university museum of natural history, to take a different approach using a method of photo-elicitation with four- and five-year-old child visitors to the museum, the book investigates children's experience of the museum, and in the process undermines many of our assumptions about the interests, needs and demands of child museum visitors drawing together the fields of museum studies and childhood studies, the book considers children as active creators of the museum visit it investigates the way that children navigate and take control of the physical and social spaces of the museum, finding their own idiosyncratic pathways through these spaces it also explores how elements of the museum 'light up', becoming salient to the child visitor finally, it investigates how children make sense through intellectually and imaginatively engaging with these elements of the museum visit snapshots of museum experiences gives a unique insight into the sheer diversity of children's museum experiences and discusses how museums might cater more successfully to the needs of their child visitors as such, it should be of great interest to academics, researchers and students in the fields of museum studies, visitor studies and childhood studies it should also be essential reading for museum educators and exhibition designers""-- provided by publisher",museums and children,3,"Child development, Childhood, Children, Children's museums, Early childhood education, Museum accessibility, Museum education, Museum exhibits, Museum visitors, Museums, Photo-elicitation research, Visitor studies","Child development,Childhood,Children,Children's museums,Early childhood education,Museum visitors,Schools of museum studies,Museum exhibits,Museum visitors,Museums,Instant photography,Visitor surveys",0.00,0.00,0.00,0.55,11.00
nomenclature 30 for museum cataloging,"""nomenclature 30 is a much-expanded edition of robert g chenhall's system for classifying man-made objects, originally published in 1978 the chenhall system is the standard cataloging tool for thousands of museums and historical organizations across the united states and canada in this third edition, three new hierarchical levels of terms allow for more precise definitions of objects and their functions every classification and object term has been reviewed and revised as needed by a professional task force appointed by the american association for state and local history""--publisher's description",museum registration methods,2,"Artifact classification systems, Cataloging of artifacts, Cataloging systems, Classification, Classification systems, Collection management, Museum cataloging, Museum collections","Visualization,Collection level cataloging,Cataloging,Classification,Classification,Collection management,Museum labels,Museum archives",0.00,0.00,0.00,0.37,7.00
the digital humanities : a primer for students and scholars,"""the digital humanities is a comprehensive introduction and practical guide to how humanists use the digital to conduct research, organize materials, analyze, and publish findings it summarizes the turn toward the digital that is reinventing every aspect of the humanities among scholars, libraries, publishers, administrators, and the public beginning with some definitions and a brief historical survey of the humanities, the book examines how humanists work, what they study, and how humanists and their research have been impacted by the digital and how, in turn, they shape it it surveys digital humanities tools and their functions, the digital humanists' environments, and the outcomes and reception of their work the book pays particular attention to both theoretical underpinnings and practical considerations for embarking on digital humanities projects it places the digital humanities firmly within the historical traditions of the humanities and in the contexts of current academic and scholarly life""-- provided by publisher",digital humanities; humanities; humanities; humanities; humanists; digital media; digital communications; information storage and retrieval systems,4,"Academic libraries, Digital curation, Digital humanities, Digital pedagogy, Digital preservation, Digital scholarship, Higher education, Humanism, Humanities, Information technology, Interdisciplinary research, Research data management, Research methodology, Scholarly publishing","Academic libraries,Data curation,Digital humanities,Pedagogical content knowledge,Digital preservation,Open scholarship,Education (Higher),Humanism,Humanities,Information technology,Interdisciplinary research,Reproducible research,Methodology,Scholarly publishing",0.33,0.14,0.41,0.52,14.00
signs & symbols,"from simple shapes and colors to gods, mythical beasts, sacred rituals, and global branding, over 2,000 signs and symbols are explained through text, illustrations, and photography grouped thematically and comprehensively cross-referenced includes the physical world, animals, plants, humans, colors, shapes, patterns, numbers, picture writing, alphabets, international signs, professional signs, brands and logos, heraldic emblems, national flags, sign languages and signals, and symbolic gestures",signs and symbols; signs and symbols; signs and symbols,3,"Communication and the body, Communication in art, Graphic communication, Heraldry, Iconography, Semiotics, Sign theory, Signs and symbols, Symbolism, Visual communication","Nonverbal communication,Communication in art,Visual communication,Heraldry,Iconography,Semiotics,Stop signs,Signs and symbols,Symbolism,Visual communication",1.00,0.11,0.30,0.43,9.00
the digital humanities and the digital modern,"this book provides new critical and methodological approaches to digital humanities, intended to guide technical development as well as critical analysis informed by the history of technology and culture and new perspectives on modernity, smithies grounds his claims in the engineered nature of computing devices and their complex entanglement with our communities, our scholarly traditions, and our sense of self the distorting mentalité of the digital modern informs our attitudes to computers and computationally intensive research, leading scholars to reject articulations of meaning that admit the interdependence of humans and the complex socio-technological systems we are embedded in by framing digital humanities with the digital modern, researchers can rebuild our relationship to technical development, and seek perspectives that unite practical and critical activity this requires close attention to the cyber-infrastructures that inform our research, the software-intensive methods that are producing new knowledge, and the ethical issues implicit in the production of digital humanities tools and methods the book will be of interest to anyone interested in the intersection of technology with humanities research, and the future of digital humanities -- from publisher's website",digital humanities,4,"Computational Methods, Computer Networks, Computer Science, Computing in Humanities, Critical Digital Studies, Critical Theory, Cyberinfrastructure, Digital Humanities, Human-Computer Interaction, Information Ethics, Information Technology, Modernity Studies, Socio-Technical Systems, Technology and Culture","Gap analysis,Computer networks,Computer science,Digital humanities,Digital forensic science,Critical theory,Cyberinfrastructure,Digital humanities,Human-computer interaction,Freedom of information,Information technology,Twenty-first century,Sociotechnical systems,Technology in popular culture",1.00,0.08,0.50,0.36,13.00
"space, humans, and farts","did you know that the planet jupiter has at least fifty moons? did you know that albert einstein's brain was stolen after he died?! learn more weird-but-true science facts with aj and andrea from dan gutman's my weird school series whether you're a kid who wants to learn more about science or simply someone who wants to know how many million times the earth could fit into the sun, this is the book for you!",curiosities and wonders; science,2,"Astronomy, Children's stories, Elementary education, Humorous stories., Juvenile literature, Science, Science fiction, Science., Space science","Astronomy,Children's stories,Education (Elementary),Humorous stories,Juvenile literature,Science,Science fiction,Science,Space sciences",0.50,0.12,0.50,0.51,8.00
collecting the past : british collectors and their collections from the 18th to the 20th centuries,"""today's libraries and museums are heavily indebted to the passions and obsessions of numerous individual collectors who devoted their lives to amassing collections of books, manuscripts, artworks, and other culturally significant objects collecting the past brings together the latest research on a wide range of significant british collectors from the eighteenth to the twentieth centuries, including hans sloane, sarah sophia banks, thomas phillipps, sydney cockerell, j p morgan jnr, alfred chester beatty and r e hart contributors to the volume examine the phenomenon of collecting in a variety of settings and across a range of different materials considering the aims and motives that led these collectors to assemble such remarkable collections, the book also examines the history of these collections after the collector's death particular attention is given to the often complicated relationship between collectors and the public institutions that subsequently came to house their collections situated within the framework of cultural collecting more generally, this book offers an authoritative series of essays on key collectors collecting the past should be most interesting to researchers, academics and postgraduate students engaged in the study of museum studies, book history, manuscript studies, museum history, library history and the history of collecting professionals in libraries, museums and galleries will also find the volume of great interest""-- provided by publisher",collectors and collecting,3,"Art collecting, Book collecting, British collectors, Collectors and collecting, Cultural institutions, Cultural property, Library history, Museum acquisition and mergers, Museums, Rare books, Social status and collecting","Small art works,Book collecting,Collectors' marks,Collectors and collecting,Cultural relations,Cultural property,Historical libraries,Museum finance,Museums,Rare books,Social status",1.00,0.09,0.28,0.45,11.00
museums in a digital culture : how art and heritage become meaningful,"""the experience of engaging with art and history has been utterly transformed by information and communications technology in recent decades we now have virtual, mediated access to countless heritage collections and assemblages of artworks, which we intuitively browse and navigate in a way that wasn't possible until very recently this collection of essays takes up the question of the cultural meaning of the information and communications technology that makes these new engagements possible, asking questions like: how should we theorise the sensory experience of art and heritage? what does information technology mean for the authority and ownership of heritage?""--provided by publisher",communication in museums; museums,4,"Art, Art and technology, Cultural heritage, Cultural heritage and technology, Cultural heritage preservation, Digital art, Digital culture, Digital preservation, Heritage and information technology, Museum attendance, Museum experience, Museum experience and digital media, Museum interpretation, Museums, Virtual exhibitions, Virtual museums","Art,Art and technology,Heritage tourism,Heritage tourism,Historic preservation,Copy art,Digital media,Digital preservation,Museum studies,Museum attendance,Museum cooperation,Communication in museums,Museum techniques,Museums,Virtual museum exhibits,Virtual museums",1.00,0.13,0.88,0.67,15.00
creativity in museum practice,"""with this book museum professionals can learn how to unleash creative potential throughout their institution drawing from a wide range of research on creativity as well as insights from today's most creative museum leaders, the authors present at a set of practical principles about how museum workers at any level--not just those in ""creative positions""--can make a place for creativity in their daily practice replete with creativity exercises and stories from the field, they guide readers in developing an internal culture of creative learning, as well as delivering increased value to museum audiences""-- provided by publisher",museum techniques; creative thinking,3,"Arts administration, Creative ability in art, Creative thinking, Cultural institutions, Innovation in museums, Museology, Museum employees, Museum management, Museum techniques, Museums, Organizational learning, Professional development","Arts administrators,Emotions in art,Creative thinking,Cultural relations,Museum studies,Museum studies,Museum directors,Museum cooperation,Museum techniques,Museums,Organizational learning,Professional education",1.00,0.18,0.56,0.62,11.00
feminist in a software lab : difference + design,"tara mcpherson asks what might it mean to design--from conception--digital tools and applications that emerge from contextual concerns of cultural theory and from a feminist concern for difference this question leads to the vectors lab, which for a dozen years has experimented with digital scholarship at the intersection of theory and praxis-- provided by publisher",digital humanities; computer software; scholarly electronic publishing; software engineering; computers and women,4,"Computer science, Critical pedagogy, Critical theory, Digital humanities, Digital media, Feminist theory, Gender studies, Human-computer interaction, Information technology, Interdisciplinary research, Software development, User experience design, User-centered design","Computer science,Critical pedagogy,Critical theory,Digital humanities,Digital media,Feminist theory,Women's studies,Human-computer interaction,Information technology,Interdisciplinary research,Software engineering,Experience rating,Communication in design",0.40,0.15,0.50,0.54,13.00
the etymologies of isidore of seville,"""this work is the first complete english translation of the latin etymologies of isidore, bishop of seville (c560-636) isidore compiled the work between c615 and the early 630s and it takes the form of an encyclopedia, arranged by subject matter it contains much lore of the late classical world beginning with the seven liberal arts, including rhetoric, and touches on thousands of topics ranging from the names of god, the terminology of the law, the technologies of fabrics, ships and agriculture to the names of cities and rivers, the theatrical arts, and cooking utensils isidore provides etymologies for most of the terms he explains, finding in the causes of words the underlying key to their meaning this book offers a highly readable translation of the twenty books of the etymologies, one of the most widely known texts for a thousand years from isidore's time""--provided by publisher","encyclopedias and dictionaries; latin language; didactic literature, latin (medieval and modern)",2,"500-1500, Bible, Classical antiquity, Education, Etymology, Latin language, Medieval, Medieval literature, Middle Ages, Philosophy, etc., interpretation","500-1500,Bible,Classical period, 1500-1700,Education,Etymology,Latin language,Middle Ages,Literature, Medieval,Middle Ages,Philosophy,Small orders,Interpretation",0.25,0.08,0.39,0.42,13.00
dk online encyclopedia,"there is a wealth of incredible facts and images online if only we know where to look this book combines the best of a traditional encyclopedia with a dedicated web site created by google, the world's leading search engine together they guide the reader to the most amazing sites the web has to offer",children's encyclopedias and dictionaries; computer network resources; homework,2,"Electronic reference sources., Encyclopedias, Google (Company), Internet, Online resources, Search engines, Web sites, World Wide Web","Electronic reference sources,Encyclopedias,Search engines,Internet,Information resources,Search engines,Web sites,World Wide Web",0.00,0.00,0.00,0.47,7.00
childcraft : the how and why library,"presents illustrated articles, stories, and poems, grouped thematically in fifteen volumes",children's encyclopedias and dictionaries,2,"Children's educational works., Children's encyclopedias, Children's literature, Children's literature collections, Children's periodicals, Children's reference books, Educational literature, Juvenile literature.","Study and teaching (Early childhood),Children's encyclopedias and dictionaries,Children's literature,Cataloging of children's literature,Children's periodicals,Children's reference books,Educational literature,Juvenile literature",1.00,0.12,0.63,0.57,8.00
"frightlopedia : an encyclopedia of everything scary, creepy, and spine-chilling, from arachnids to zombies","""discover borneo's gomantong cave, where literally millions of bats, cockroaches, spiders, and rats coexist--in pitch darkness learn about mythical creatures like the mongolian death worm--and scarily real ones like killer bees, which were accidentally created by scientists in the 1950s visit new orleans' beauregard-keyes house, where civil war soldiers are said to still clash in the front hall plus ghost stories from around the world, a cross-cultural study of vampires, and how to transform into a zombie with makeup each entry includes a ""fright meter"" measurement from 1 to 3, because while being scared is fun, everyone has their limit""--amazon website",curiosities and wonders; ghost stories,2,"Cryptids, Ghosts in literature, Halloween, Horror films and television programs., Horror television programs, Paranormal television programs, Supernatural, Supernatural creatures in folklore","Crypts,Ghosts in literature,Halloween,Horror television programs,Horror television programs,Ghost television programs,Supernatural,Applied folklore",0.00,0.00,0.00,0.51,7.00
facts & records : amazing achievements,"an illustrated compendium of facts about human achievements, from the development of the alphabet to the latest space probes",curiosities and wonders,2,"Achievements, Alphabets, History of technology, Human History, Human history, Innovation, Mankind's accomplishments, Science, Space Exploration, Space exploration, Technology and Civilization, World Records, World records","Counting,Alphabets,Historians of technology,History, Modern,History, Modern,Efficiency,Historicity,Science,Exploration,Exploration,Technology and civilization,World records,World records",0.00,0.00,0.00,0.22,11.00
"back to school : 1,001 facts you learned in high school","""in this book, you'll get a quick and comprehensive refresher course in all the basic fields of knowledge you studied in high school''-- back cover",education; encyclopedias and dictionaries,2,"Academic achievement, Education, High school curriculum, High school students, Higher, Review., Secondary, Study Aids, Study skills, Test preparation","Academic achievement,Education,Curriculum-based assessment,High school students,Change,Reviews,To 600,Aids and devices,Study skills,Test-taking skills",0.50,0.10,0.50,0.43,10.00
it can't be true!,"""[this book] brings unbelievable facts to life with the help of 200 jaw-dropping visual comparisons across a wide range of subjects from outer space to the human body""--front jacket flap",curiosities and wonders; engineering,3,"Anatomy, Astronomical objects, Comparative anatomy, Comparative biology, Educational visuals, Human body, Medical illustrations, Science education, Science popularization, Visual aids, Visual learning, Zoology","Anatomy,Compact objects (Astronomy),Anatomy, Comparative,Population biology,Visual education,Human body,Medical illustration,Science teachers,Science,Visual aids,Visual learning,Zoology",0.00,0.00,0.00,0.31,12.00
the objects of experience : transforming visitor-object encounters in museums,"""what if museums could harness the emotional and intellectual connections people have to personal and everyday objects to create richer visitor experiences? in this book, elizabeth wood and kiersten latham present the object knowledge framework, a tool for using objects to connect museum visitors to themselves, to others, and to their world they discuss the key concepts underpinning our lived experience of objects and how museums can learn from them then they walk readers through concrete methods for transforming visitor-object experiences, including exercises and strategies for teams developing exhibit themes, messages, and content, and participatory experiences""-- provided by publisher",museum exhibits; museum techniques,3,"Emotional experience in museums, Museum education, Museum exhibits, Museum experience, Museum interpretation, Museum pedagogy, Museum visitor studies, Museum visitors, Museums, Object-based learning, Visitor engagement","Communication in museums,Schools of museum studies,Museum exhibits,Museum cooperation,Museum techniques,Schools of museum studies,Museum visitors,Museum visitors,Museums,Object-teaching,Visitor surveys",1.00,0.22,0.52,0.72,9.00
