title,abstract,lcsh_subject_headings,Predicted_Label_Count,predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the world almanac for kids 2012,"offers facts on a range of topics, from animals to weather and from computers to sports","almanacs, children's",2,"Almanacs, Almanacs for children, Animals, Children's nonfiction, Climate, Computers, Education, Elementary education, Engineering, Fun facts, Games, General knowledge., Geography, History, Hobbies, Homework help, Informational works, Internet, Juvenile literature, Learning, Learning resources, Middle school education, Recreation, Reference books, Reference sources, Research, Schools, Science, Sports, Study aids, Technology, Weather, Yearbooks, Zoology, and Mathematics (STEM)","Almanacs,Almanacs, Children's,Animals,Young adult fiction in libraries,Climate,Computers,Education,Education (Elementary),Engineering,Rumor,Games,Necessity,Geography,History,Hobbies,Homework,Information theory in research,Internet,Juvenile literature,Learning,Information resources,Middle school education,Recreation,Reference books,Reference sources,Research,Schools,Science,Sports,Aids and devices,Technology,Weather,Yearbooks,Zoology,Biology, [Mathematics, etc.]",1.00,0.05,0.53,0.38,37.00
humanities and pedagogy : teaching of humanities today,"contributed papers presented at the international seminar on ""teaching of humanities"", what is needed now held in 2001 at ciefl",humanities; humanities,2,"Academic Freedom, Art Education, Assessment Methods, Classics Education, Classroom Environment, Cognitive Development, Community Engagement, Critical Pedagogy, Critical Thinking, Cultural Studies, Curriculum Development, Education, Educational Policy, Educational Psychology, Educational Reform, Educational Technology, Ethics in Education, Experiential Learning, Foreign Language Education, Higher Education, History Education, Humanities, Interdisciplinary Approach, Language Arts, Learning Theories, Liberal Arts, Literature Education, Multicultural, Music Education, Online Learning, Pedagogy, Philosophy of Education, Service Learning, Social Sciences, Student Engagement, Student-centered Learning, Teacher Empowerment, Teacher Training, Theatre Education","Academic freedom,Education in art,Outcome assessment,Books of hours,Classroom environment,Cognitive balance,Community life,Critical pedagogy,Critical thinking,Cross-cultural studies,Curriculum change,Education,Educational change,Educational psychology,Educational change,Educational technology,Student ethics,Experiential learning,Communication in foreign language education,Education (Higher),History teachers,Humanities,Interdisciplinary research,Language arts,Problem-based learning,Arts, American,Education in literature,Multiculturalism,Music teachers,Educational evaluation,Critical pedagogy,Views on education,Service learning,Social sciences,Light in education,Student-centered learning,Teacher effectiveness,Teacher training,Education in the theater",1.00,0.03,0.24,0.35,38.00
beyond coincidence : amazing stories of coincidence and the mystery behind them,"from magic and religion to subatomic particles and probability, a look at the baffling complexities of coincidence recounts more than two hundred bizarre stories of synchronicity",curiosities and wonders; coincidence,2,"Chance, Chaos theory, Cognitive science, Coincidence, Complexity theory, Consciousness studies, Data analysis, Destiny, Dreams, Fate, Free will and determinism, Human behavior, Intersubjectivity, Intuition, Magic, Mathematics, Miracles, Near-death experiences, Paranormal phenomena, Parapsychology, Particle physics, Philosophy, Premonitions, Probability, Probability and statistics in social sciences, Probability theory, Prophecies, Psychology, Quantum mechanics, Randomness, Religion, Serendipity, Social psychology, Spirituality, Statistical analysis, Statistics, Synchronicity, Synchronistic events, Uncertainty principle","Chance,Deterministic chaos,Cognitive science,Coincidence,Computational complexity,Consciousness,Analysis,Manifest Destiny,Dreams,Retribution,Free will and determinism,Human behavior,Intersubjectivity,Intuition,Magic,Mathematics,Miracles,Near-death experiences,Near-death experiences,Parapsychology,Particle dynamics,Philosophy,New Criticism,Probabilities,Scaling (Social sciences),Probabilities,Prophecies,Psychology,Quantum theory,Quantifiers,Religion,Serendipity,Social psychology,Spirituality,Statistical methods,Statistics,Synchronization,Synchronization,Uncertainty (Information theory)",0.50,0.03,0.20,0.25,36.00
the new book of knowledge,"an illustrated encyclopedia with articles on history, literature, art and music, geography, mathematics, science, sports, and other topics some articles include activities, games, or experiments",children's encyclopedias and dictionaries,2,"Academic achievement, Arts education, Children's encyclopedias, Cognitive development., Education, Educational activities, Educational collections, Educational development, Educational games, Educational materials, Educational multimedia, Educational resources, Encyclopedias, Experiments, General knowledge, Geography education, Hands-on learning, History education, Illustrated, Illustrated books, Interactive learning, Juvenile literature, Knowledge, Learning, Literature education, Mathematics education, Music education, Nonfiction books, Reference books, Reference works., School books, Science education, Sports education, Study aids","Academic achievement,Arts in education,Children's encyclopedias and dictionaries,Cognition in children,Education,Student activities,Digital libraries,Educational change,Educational games,Instructional materials,Interactive multimedia,Open educational resources,Encyclopedias,Experiments,Knowledge, Theory of,Geography teachers,Learning,History teachers,Extra-illustrated,Illustrated books,Cognitive learning,Juvenile literature,Knowledge and learning,Learning,Education in literature,Mathematics and physical education,Music teachers,Reference books,Reference books,Reference,Books,Science teachers,Individual sports,Aids and devices",1.00,0.03,1.00,0.29,33.00
the future without a past : the humanities in a technological society,"""argues that technological imperatives like rationalization, universalism, monism, and autonomy have transformed the humanities and altered the relation between humans and nature examines technology and its impact on education, historical memory, and technological and literary values in criticism and theory, concluding with an analysis of the fiction of don delillo""--provided by publisher",humanities; technology and civilization; science and the humanities; humanities; learning and scholarship,4,"American literature, Autonomy (Philosophy), Criticism and theory, Cultural criticism, Cultural identity, Don DeLillo, Ecocriticism, Education, Education and technology, Environmental impact, Historical preservation, Human-nature relation, Humanism, Humanities, Literary theory, Literature and technology, Modernism, Modernism (Literary movement), Modernity, Monism (Philosophy), Philosophy and technology, Philosophy of technology, Postindustrial society, Postmodernism, Poststructuralism., Rationalization (Philosophy), Science and technology studies, Society and technology, Technological advancements, Technological change, Technological determinism, Technological impact, Technological society, Technology and civilization, Universalism (Philosophy)","American literature,Autonomy (Philosophy),Higher criticism,Cultural awareness,Cultural awareness,Pasillos,Ecocriticism,Education,High technology and education,Environmental impact analysis,Historic preservation,Effect of human beings on,Humanism,Humanities,Time in literature,Literature and technology,Modernism (Art),Modernism (Literature),Amateurism,Monism,Philosophy and cognitive science,Technological complexity,Society for the New Message,Postmodernism,Poststructuralism,Rationalistic interpretations,Science and technology intermediary organizations,Technology and older people,Technological innovations,Technological innovations,Technological complexity,Effect of technological innovations on,Technological complexity,Technology and civilization,Universals (Philosophy)",0.50,0.06,0.27,0.44,31.00
"massachusetts treasures : a guide to marvelous, must-see museums","""well known for its world-renowned art museums--from the clark art institute in williamstown to the museum of fine arts in boston--massachusetts is also home to numerous institutions with more eclectic collections and, oftentimes, lower profiles these include mansfield's national black doll museum of history and culture, watertown's plumbing museum, and granville's noble and cooley center for historic preservation in massachusetts treasures, chuck d'imperio explores more than forty museums scattered throughout the bay state, from cape cod to the berkshires many--but not all--might be considered ""offbeat,"" and each and every one is enchanting through personal visits and interviews with founders and directors, d'imperio offers an inside glimpse into some of the commonwealth's most unique museums, providing a valuable guide for road warriors and history buffs discovering massachusetts either for the first or the tenth time""-- provided by publisher",museums,2,"Art, Art museums, Cultural heritage, Cultural institutions, Guidebooks, History buffs, History museums, Local history, Massachusetts, Museum collections, Museum curators, Museum management, Museums, Offbeat museums, Preservation, Regional museums, Regional studies., Road travel, Road warrior culture, Tourism, Travel, Travel guides","Art,Art museums,Heritage tourism,Cultural relations,Guidebooks,History,Historical museums,Local history,Massachusetts,Museum archives,Museum curators,Museum cooperation,Museums,Music museums,Preservation,Small museums,Regionalism and education,Automobile travel,Western films,Tourism,Travel,Tour guides (Manuals)",1.00,0.05,0.23,0.55,22.00
museum rhetoric : building civic identity in national spaces,"""examines the role of museums in promoting cultural heritage and national identity, focusing on rhetorical understandings of public space and civic engagement""--provided by publisher",museums; national museums; rhetoric; nationalism; cultural property,4,"Belonging, Citizenship, Civic culture, Civic engagement, Civic participation, Civil society, Collective memory, Commemoration, Commemorative, Community building, Community engagement, Cultural diplomacy, Cultural heritage, Cultural institutions, Cultural landscape, Cultural policy, Cultural politics, Cultural representation, Education, Ethnic identity, Heritage preservation, Heritage tourism, Historical memory, Iconography, Identity (Social psychology), Identity formation, Intangible cultural heritage, Memorialization, Multiculturalism, Museums, National identity, National narratives, Nationalism, Patriotism, Place-based identity, Pluralism, Public discourse, Public history, Public spaces, Regional identity, Rhetoric, Social identity, Symbolic spaces, Tourism, Urban studies","Belonging (Social psychology),Citizenship,Political culture,Civic improvement,Citizen participation,Civil society,Collective memory,Commemoration,Commemorative boxes,Planned communities,Community life,Cultural diplomacy,Heritage tourism,Cultural relations,Cultural landscapes,Cultural policy,Politics and culture,Cultural intelligence,Education,Ethnic identity,Historic preservation,Heritage tourism,Historicity,Iconography,Identity (Psychology),Matching theory,Heritage tourism,Memorialization,Multiculturalism,Museums,Identity,Criticism, Narrative,Nationalism,Patriotism,Imaginary places,Pluralism,Discourse analysis,Public history,Public spaces,Names, Geographical,Rhetoric,Identity (Psychology) in old age,Symbolic representation,Tourism,Urbanization",0.60,0.07,0.37,0.46,45.00
museum activism,"""only a decade ago, the notion that museums, galleries and heritage organisations might engage in activist practice, with explicit intent to act upon inequalities, injustices and environmental crises, was met with scepticism and often derision seeking to purposefully bring about social change was viewed by many within and beyond the museum community as inappropriately political and antithetical to fundamental professional values today, although the idea remains controversial, the way we think about the roles and responsibilities of museums as knowledge-based, social institutions is changing museums and activism examines the increasing significance of this activist trend in thinking and practice at this crucial time in the evolution of museum thinking and practice, this ground-breaking volume brings together more than fifty contributors working across six continents to explore, analyse and critically reflect upon the museum's relationship to activism including contributions from practitioners, artists, activists and researchers, this wide-ranging examination of new and divergent expressions of the inherent power of museums as forces for good, and as activists in civil society, aims to encourage further experimentation and enrich the debate in this nascent and uncertain field of museum practice museum activism elucidates the largely untapped potential for museums as key intellectual and civic resources to address inequalities, injustice and environmental challenges this makes the book essential reading for scholars and students of museum and heritage studies, gallery studies, arts and heritage management and politics it will be a source of inspiration to museum practitioners and museum leaders around the globe""-- provided by publisher",museums; museums; museums; museum exhibits; social justice; social influence,3,"Activism, Activism in art, Activist art, Advocacy, Arts administration, Civic engagement, Collaborative practice, Community development, Community engagement, Community engagement in art, Community outreach, Community-based art, Cultural activism, Cultural heritage, Cultural institutions, Cultural institutions and society., Decolonization, Environmental activism, Environmental protection, Heritage conservation, Human rights, Inequality, Museum and society, Museum attendance, Museum education, Museum ethics, Museum leadership, Museum management, Museum studies, Museums, Participatory culture, Public art, Public history, Public policy, Social activism, Social change, Social impact, Social justice, Social responsibility, Socially engaged art, Sustainable development","Activism,Freedom and art,Art donors,Social advocacy,Arts administrators,Civic improvement,Professional practice,Community development,Community life,Communities in art,Community centers,Community arts projects,Cultural rights,Heritage tourism,Cultural relations,Cultural relations,Decolonization,Anti-environmentalism,Environmental protection,Heritage tourism,Human rights,Inequalities (Mathematics),Museum studies,Museum attendance,Schools of museum studies,Theft from museums,Museum directors,Museum cooperation,Museum studies,Museums,Culture,Public art,Public history,Public policy,Activism,Social change,Social influence,Social justice,Responsibility,Non-social-realist art,Sustainable development",0.75,0.08,0.30,0.53,37.00
mental-floss : the book : the greatest lists in the history of listory,"for ten years, the knowledge seekers at mental-floss have been hunting and trapping the world's rarest facts, locking them into captivating lists for the world to admire this book is packed with a decade's worth of the smartest, quirkiest stories around",lists,2,"Amusement and entertainment, Curious facts, Educational resources, Entertainment, Facts, General interest, General knowledge, General learning, Informational resources, Intellectual curiosity, Intellectual pursuits, Knowledge, Lists, Lists of facts, Mental floss, Miscellaneous facts, Nonfiction, Odd facts, Popular culture, Popular knowledge, Quirky facts, Reference books, Reference works, Riddles, Strange facts, Surprising facts, Trivia, Trivia questions, Unconventional knowledge, Unusual facts, World history, World trivia.","Amusements,Rumor,Open educational resources,Entertaining,Claims,Future interests,Knowledge, Theory of,Self-managed learning,Information resources,Intellectual life,Intellectualization (Psychology),Knowledge and learning,Lists,Informations,Dental floss,Complaints against,Creative nonfiction,Rumor,Popular culture,Popularity,Claims,Reference books,Reference,Riddles,Fake news,Bad news,Trivia,Trivia,Self-knowledge, Theory of,Rumor,World history,Trivia",1.00,0.04,0.24,0.24,28.00
snapshots of museum experience : understanding child visitors through photography,"""children are one of the major audiences for museums, but their visits are often seen solely from the point of view of museum learning in snapshots of museum experience, will buckingham draws upon elee kirk's research amongst child visitors to the oxford university museum of natural history, to take a different approach using a method of photo-elicitation with four- and five-year-old child visitors to the museum, the book investigates children's experience of the museum, and in the process undermines many of our assumptions about the interests, needs and demands of child museum visitors drawing together the fields of museum studies and childhood studies, the book considers children as active creators of the museum visit it investigates the way that children navigate and take control of the physical and social spaces of the museum, finding their own idiosyncratic pathways through these spaces it also explores how elements of the museum 'light up', becoming salient to the child visitor finally, it investigates how children make sense through intellectually and imaginatively engaging with these elements of the museum visit snapshots of museum experiences gives a unique insight into the sheer diversity of children's museum experiences and discusses how museums might cater more successfully to the needs of their child visitors as such, it should be of great interest to academics, researchers and students in the fields of museum studies, visitor studies and childhood studies it should also be essential reading for museum educators and exhibition designers""-- provided by publisher",museums and children,3,"Child development, Child-centered museums, Child-friendly museums, Childhood studies, Children, Children's engagement, Children's experiences, Children's learning, Children's museums, Children's participation, Early childhood education, Museum accessibility, Museum attendance, Museum design, Museum education, Museum environments, Museum exhibits, Museum experience, Museum interpretation, Museum programming, Museum visitor behavior, Museum visitor experience., Museums, Museums and children, Participatory research, Photo-elicitation, Photographic surveys, Play-based learning, Visitor studies","Child development,Children's museums,Children's museums,Internet and children,Children,Courage in children,Experience in children,Slow learning children,Children's museums,Child participation,Early childhood education,Museum visitors,Museum attendance,Museum architecture,Schools of museum studies,Museum cooperation,Museum exhibits,Museum cooperation,Museum techniques,Museum information networks,Museum visitors,Museum visitors,Museums,Museums and children,Qualitative research,Instant photography,Photographic surveying,Plays-in-progress,Visitor surveys",1.00,0.04,0.22,0.51,24.00
