title,abstract,lcsh_subject_headings,predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the world almanac for kids 2012,"offers facts on a range of topics, from animals to weather and from computers to sports","almanacs, children's","Children's encyclopedias and dictionaries, Almanacs, Juvenile literature, Curiosities and wonders, Animals, Weather, Computers, Sports","Children's encyclopedias and dictionaries,Almanacs,Juvenile literature,Curiosities and wonders,Animals,Weather,Computers,Sports",0.50,0.12,0.32,0.44,8.00
humanities and pedagogy : teaching of humanities today,"contributed papers presented at the international seminar on ""teaching of humanities"", what is needed now held in 2001 at ciefl",humanities; humanities,"Humanities—Study and teaching, Education—Philosophy, Teaching—Methodology, International education, Educational seminars","Humanities,Education, Humanistic,Effective teaching,International education,Seminars",1.00,0.17,0.36,0.46,6.00
beyond coincidence : amazing stories of coincidence and the mystery behind them,"from magic and religion to subatomic particles and probability, a look at the baffling complexities of coincidence recounts more than two hundred bizarre stories of synchronicity",curiosities and wonders; coincidence,"Coincidence, Synchronicity, Probability, Subatomic particles, Magic, Religion, Anecdotes, Curiosities and wonders, Supernatural, Mysticism","Coincidence,Syncretistic controversy,Probabilities,Particles (Nuclear physics),Magic,Religion,Anecdotes,Curiosities and wonders,Supernatural,Mysticism",1.00,0.20,0.40,0.42,10.00
the new book of knowledge,"an illustrated encyclopedia with articles on history, literature, art and music, geography, mathematics, science, sports, and other topics some articles include activities, games, or experiments",children's encyclopedias and dictionaries,"Encyclopedias and dictionaries, History—Encyclopedias, Literature—Encyclopedias, Art—Encyclopedias, Music—Encyclopedias, Geography—Encyclopedias, Mathematics—Encyclopedias, Science—Encyclopedias, Sports—Encyclopedias, Educational games, Science experiments","Encyclopedias and dictionaries,Chronology, Historical,Books in literature,Curiosities and wonders in art,Music thanatology,Discoveries in geography,Reverse mathematics,Discoveries in science,Sports records,Educational games,Experiments",0.00,0.00,0.00,0.29,12.00
the future without a past : the humanities in a technological society,"""argues that technological imperatives like rationalization, universalism, monism, and autonomy have transformed the humanities and altered the relation between humans and nature examines technology and its impact on education, historical memory, and technological and literary values in criticism and theory, concluding with an analysis of the fiction of don delillo""--provided by publisher",humanities; technology and civilization; science and the humanities; humanities; learning and scholarship,"Technology and civilization, Humanities--Study and teaching, Technology--Social aspects, Literature and technology, Education--Effect of technological innovations on, Historical memory, Criticism--Theory, etc., DeLillo, Don--Criticism and interpretation, Rationalization (Psychology), Universalism, Monism, Autonomy (Philosophy)","Technology and civilization,Science and the humanities,Technology and older people,Literature and technology,Effect of technological innovations on,Historicity,Higher criticism,Shorts (Clothing),Pasillos,Criticism and interpretation,Rationalization (Psychology),Universalism,Monism,Autonomy (Philosophy)",0.50,0.14,0.57,0.45,14.00
"massachusetts treasures : a guide to marvelous, must-see museums","""well known for its world-renowned art museums--from the clark art institute in williamstown to the museum of fine arts in boston--massachusetts is also home to numerous institutions with more eclectic collections and, oftentimes, lower profiles these include mansfield's national black doll museum of history and culture, watertown's plumbing museum, and granville's noble and cooley center for historic preservation in massachusetts treasures, chuck d'imperio explores more than forty museums scattered throughout the bay state, from cape cod to the berkshires many--but not all--might be considered ""offbeat,"" and each and every one is enchanting through personal visits and interviews with founders and directors, d'imperio offers an inside glimpse into some of the commonwealth's most unique museums, providing a valuable guide for road warriors and history buffs discovering massachusetts either for the first or the tenth time""-- provided by publisher",museums,"Museums—Massachusetts—Guidebooks, Art museums—Massachusetts, Historic preservation—Massachusetts, Cultural property—Massachusetts, Travel—Massachusetts—Guidebooks, Massachusetts—Description and travel, Massachusetts—History, Local, Museums—Collections and exhibits, Museums—Directories, Museums—Social aspects—Massachusetts","College museums,College art museums,National Historic Preservation Week,Real property, Colonial,Massachusetts Route 181 (Mass.),Massachusetts Route 2 (Mass.),Massachusetts,Local option,Museum exhibits,Museums in art,Museums and schools",0.00,0.00,0.00,0.50,12.00
museum rhetoric : building civic identity in national spaces,"""examines the role of museums in promoting cultural heritage and national identity, focusing on rhetorical understandings of public space and civic engagement""--provided by publisher",museums; national museums; rhetoric; nationalism; cultural property,"Museums—Social aspects, Museums—Political aspects, National characteristics, Cultural property—Social aspects, Rhetoric—Social aspects, Public spaces—Social aspects, Civic engagement, Nationalism and collective memory, Cultural heritage—Social aspects, Identity (Psychology) in art","Museums and community,Museums in art,National characteristics,Cultural property,Socio-rhetorical criticism,Public spaces,Civic improvement,Nationalism and collective memory,Heritage tourism,Identity (Psychology) in art",0.20,0.10,0.33,0.63,10.00
museum activism,"""only a decade ago, the notion that museums, galleries and heritage organisations might engage in activist practice, with explicit intent to act upon inequalities, injustices and environmental crises, was met with scepticism and often derision seeking to purposefully bring about social change was viewed by many within and beyond the museum community as inappropriately political and antithetical to fundamental professional values today, although the idea remains controversial, the way we think about the roles and responsibilities of museums as knowledge-based, social institutions is changing museums and activism examines the increasing significance of this activist trend in thinking and practice at this crucial time in the evolution of museum thinking and practice, this ground-breaking volume brings together more than fifty contributors working across six continents to explore, analyse and critically reflect upon the museum's relationship to activism including contributions from practitioners, artists, activists and researchers, this wide-ranging examination of new and divergent expressions of the inherent power of museums as forces for good, and as activists in civil society, aims to encourage further experimentation and enrich the debate in this nascent and uncertain field of museum practice museum activism elucidates the largely untapped potential for museums as key intellectual and civic resources to address inequalities, injustice and environmental challenges this makes the book essential reading for scholars and students of museum and heritage studies, gallery studies, arts and heritage management and politics it will be a source of inspiration to museum practitioners and museum leaders around the globe""-- provided by publisher",museums; museums; museums; museum exhibits; social justice; social influence,"Museums and society, Social justice, Museums--Social aspects, Museums--Political aspects, Cultural property--Social aspects, Cultural property--Political aspects, Activism, Social change, Environmental justice, Museum studies, Heritage studies, Arts management, Civil society, Inequality, Justice, Environmental crises, Museum leadership, Museum practice, Museum professionals, Museum ethics, Cultural institutions, Social responsibility, Political activism, Museum activism, Museum theory, Museum education, Museum exhibitions, Museum collections, Museum visitors, Museum curatorship, Museum management, Museum policy, Museum governance, Museum funding, Museum outreach, Museum partnerships, Museum innovation, Museum sustainability, Museum diversity, Museum inclusion, Museum equity, Museum accessibility, Museum advocacy, Museum engagement, Museum impact, Museum transformation, Museum evolution, Museum trends, Museum futures, Museum challenges, Museum opportunities, Museum research, Museum scholarship, Museum literature, Museum publications, Museum conferences, Museum networks, Museum collaborations, Museum professionals, Museum educators, Museum activists, Museum artists, Museum researchers, Museum practitioners, Museum leaders, Museum stakeholders, Museum communities, Museum audiences, Museum publics, Museum roles, Museum responsibilities, Museum missions, Museum visions, Museum values, Museum principles, Museum philosophies, Museum ideologies, Museum paradigms, Museum frameworks, Museum models, Museum approaches,","Museums and community,Social justice,Museums and community,Museums and social media,Cultural property,Cultural property,Activism,Social change,Environmental justice,Museum studies,Demographic archaeology,Arts administrators,Civil society,Inequalities (Mathematics),Justice,Environmental disasters,Museum cooperation,Museum studies,Museum curators,Museum cooperation,Cultural policy,Social rights,Activism,Museums and social media,Museum studies,Schools of museum studies,Museum exhibits,Museum archives,Museum visitors,Museum curators,Museum cooperation,Museum cooperation,Museum cooperation,Museum finance,Museum outreach programs,Museum cooperation,Museum studies,Museum architecture,Museum visitors,Museum cooperation,Museum finance,Museum visitors,Museum cooperation,Museum cooperation,Museum studies,Museum techniques,Museum studies,Museum studies,Museum studies,Museum exhibits,Museum studies,Museum studies,Schools of museum studies,Museums in literature,Museum publications,College museums,Museum information networks,Museum cooperation,Museum curators,Schools of museum studies,Older volunteers in museums,Artists and art museum curators,Museum curators,Museum studies,Museum directors,Museum cooperation,Museums and community,Communication in museums,Museum visitors,Museum directors,Museum cooperation,Astronautical museums,Museum techniques,For-profit museums,Museum techniques,Museums and scholars,Museums and scholars,Museum techniques,Museum techniques,Museum objects,Museum techniques,Change",0.50,0.05,0.28,0.69,39.00
mental-floss : the book : the greatest lists in the history of listory,"for ten years, the knowledge seekers at mental-floss have been hunting and trapping the world's rarest facts, locking them into captivating lists for the world to admire this book is packed with a decade's worth of the smartest, quirkiest stories around",lists,"Lists, Curiosities and wonders, Trivia and miscellanea, Knowledge, Theory of, Popular culture, Information resources, Reference books, General knowledge, Intellectual life, History of ideas","Lists,Curiosities and wonders,Miscellanea,Knowledge and learning,Theory,Popular culture,Information resources,Reference books,Knowledge, Theory of,Intellectual life,History and criticism",1.00,0.08,0.39,0.28,12.00
snapshots of museum experience : understanding child visitors through photography,"""children are one of the major audiences for museums, but their visits are often seen solely from the point of view of museum learning in snapshots of museum experience, will buckingham draws upon elee kirk's research amongst child visitors to the oxford university museum of natural history, to take a different approach using a method of photo-elicitation with four- and five-year-old child visitors to the museum, the book investigates children's experience of the museum, and in the process undermines many of our assumptions about the interests, needs and demands of child museum visitors drawing together the fields of museum studies and childhood studies, the book considers children as active creators of the museum visit it investigates the way that children navigate and take control of the physical and social spaces of the museum, finding their own idiosyncratic pathways through these spaces it also explores how elements of the museum 'light up', becoming salient to the child visitor finally, it investigates how children make sense through intellectually and imaginatively engaging with these elements of the museum visit snapshots of museum experiences gives a unique insight into the sheer diversity of children's museum experiences and discusses how museums might cater more successfully to the needs of their child visitors as such, it should be of great interest to academics, researchers and students in the fields of museum studies, visitor studies and childhood studies it should also be essential reading for museum educators and exhibition designers""-- provided by publisher",museums and children,"Museums and children, Museum visitors, Photography in education, Museum exhibits, Children's museums, Museum studies, Visitor studies, Childhood studies, Museum education, Exhibition design, Photo-elicitation, Museum learning, Child development, Museum spaces, Social interaction in children, Museum experiences, Natural history museums, Oxford University Museum of Natural History","Museums and children,Museum visitors,Photography in education,Museum exhibits,Children's museums,Museum studies,Visitor surveys,Early childhood education,Schools of museum studies,Exhibition techniques,Image quality,Schools of museum studies,Child development,Museum storage facilities,Social interaction in children,Museum studies,Natural history museums,Field Museum of Natural History",1.00,0.06,0.63,0.57,16.00
nomenclature 30 for museum cataloging,"""nomenclature 30 is a much-expanded edition of robert g chenhall's system for classifying man-made objects, originally published in 1978 the chenhall system is the standard cataloging tool for thousands of museums and historical organizations across the united states and canada in this third edition, three new hierarchical levels of terms allow for more precise definitions of objects and their functions every classification and object term has been reviewed and revised as needed by a professional task force appointed by the american association for state and local history""--publisher's description",museum registration methods,"Museums—Cataloging, Classification—Books, Cataloging of museum objects, Museum techniques, Chenhall, Robert G., American Association for State and Local History, Man-made objects—Classification, Historical organizations—Cataloging, Museum collections—Management, Cataloging standards","Small museums,FAST subject headings,Museum objects,Museum techniques,Brydalen,Robert I, 922-923,Statesmen as authors,Found objects (Art),Cataloging of history materials,Museum docents,Cataloging",0.00,0.00,0.00,0.34,12.00
the digital humanities : a primer for students and scholars,"""the digital humanities is a comprehensive introduction and practical guide to how humanists use the digital to conduct research, organize materials, analyze, and publish findings it summarizes the turn toward the digital that is reinventing every aspect of the humanities among scholars, libraries, publishers, administrators, and the public beginning with some definitions and a brief historical survey of the humanities, the book examines how humanists work, what they study, and how humanists and their research have been impacted by the digital and how, in turn, they shape it it surveys digital humanities tools and their functions, the digital humanists' environments, and the outcomes and reception of their work the book pays particular attention to both theoretical underpinnings and practical considerations for embarking on digital humanities projects it places the digital humanities firmly within the historical traditions of the humanities and in the contexts of current academic and scholarly life""-- provided by publisher",digital humanities; humanities; humanities; humanities; humanists; digital media; digital communications; information storage and retrieval systems,"Digital humanities, Humanities--Research--Methodology, Humanities--Data processing, Humanities--Study and teaching, Scholarly publishing, Libraries and scholars, Research--Technological innovations, Information storage and retrieval systems--Humanities, Academic libraries--Effect of technological innovations on, Digital media--Social aspects","Digital humanities,Communication in the humanities,Digital humanities,Science and the humanities,Scholarly publishing,Libraries and scholars,Technological innovations,Information storage and retrieval systems,Library use studies,Social media and television",0.33,0.22,0.46,0.64,9.00
signs & symbols,"from simple shapes and colors to gods, mythical beasts, sacred rituals, and global branding, over 2,000 signs and symbols are explained through text, illustrations, and photography grouped thematically and comprehensively cross-referenced includes the physical world, animals, plants, humans, colors, shapes, patterns, numbers, picture writing, alphabets, international signs, professional signs, brands and logos, heraldic emblems, national flags, sign languages and signals, and symbolic gestures",signs and symbols; signs and symbols; signs and symbols,"Signs and symbols, Symbolism, Semiotics, Visual communication, Iconography, Mythology, Branding (Marketing), Heraldry, Flags, Sign language, Gesture, Cross-references, Thematic analysis, Visual perception, Communication and culture, Communication--Social aspects, Communication--Psychological aspects, Communication--Religious aspects, Communication--History, Communication--Philosophy, Communication--Methodology, Communication--Research, Communication--Study and teaching, Communication--Technological innovations, Communication--Data processing, Communication--Mathematical models, Communication--Statistical methods, Communication--Computer programs, Communication--Databases, Communication--Information technology, Communication--Information resources, Communication--Information services, Communication--Information storage and retrieval systems, Communication--Information networks, Communication--Information systems, Communication--Information theory, Communication--Information retrieval, Communication--Information organization, Communication--Information management, Communication--Information policy, Communication--Information security, Communication--Information warfare, Communication--Information ethics, Communication--Information law and legislation, Communication--Information society, Communication--Information economy, Communication--Information infrastructure, Communication--Information architecture, Communication--Information design, Communication--Information visualization, Communication--Information literacy, Communication--Information behavior, Communication--Information seeking, Communication--Information use, Communication--Information needs","Signs and symbols,Symbolism,Semiotics,Visual communication,Iconography,Mythology,Branding (Marketing),Heraldry,Flags,Sign language,Gesture,Cross references,Qualitative theory,Visual perception,Communication and culture,Communication and sex,Communication and sex,Orientation (Religion),Social media and history,Communication criticism,Communication in organizations,Communication in organizations,Communication in education,Technological innovations,Data processing,Communication models,Statistical communication theory,Systems programming (Computer science),Relational databases,Communication and technology,Information resources,Information services,Information storage and retrieval systems,Information networks,Communication systems,Information theory,Information retrieval,Information organization,Communication in management,Communication policy,Confidential communications,Information warfare,Freedom of information,Information theory in law,Information society,Information theory in economics,Semantic networks (Information theory),Communication in architecture,Information modeling,Information visualization,Information literacy,Information behavior,Information theory in mathematics,Content analysis (Communication),Communication models",1.00,0.02,0.28,0.21,52.00
the digital humanities and the digital modern,"this book provides new critical and methodological approaches to digital humanities, intended to guide technical development as well as critical analysis informed by the history of technology and culture and new perspectives on modernity, smithies grounds his claims in the engineered nature of computing devices and their complex entanglement with our communities, our scholarly traditions, and our sense of self the distorting mentalité of the digital modern informs our attitudes to computers and computationally intensive research, leading scholars to reject articulations of meaning that admit the interdependence of humans and the complex socio-technological systems we are embedded in by framing digital humanities with the digital modern, researchers can rebuild our relationship to technical development, and seek perspectives that unite practical and critical activity this requires close attention to the cyber-infrastructures that inform our research, the software-intensive methods that are producing new knowledge, and the ethical issues implicit in the production of digital humanities tools and methods the book will be of interest to anyone interested in the intersection of technology with humanities research, and the future of digital humanities -- from publisher's website",digital humanities,"Digital humanities, Technology and civilization, Information technology--Social aspects, Humanities--Research--Methodology, Humanities--Data processing, Critical theory, Modernity, Cyberinfrastructure, Ethics and technology, Human-computer interaction, Socio-technical systems, Software engineering--Social aspects, Digital media--Philosophy, Scholarly publishing--Technological innovations, Humanities--Study and teaching--Technological innovations","Digital humanities,Technology and civilization,Communication and technology,Communication in the humanities,Digital humanities,Critical theory,Post-modern . . .,Cyberinfrastructure,Applied ethics,Human-computer interaction,Sociotechnical systems,Requirements engineering,Digital media,Scholarly electronic publishing,Technological literacy",1.00,0.07,0.29,0.41,14.00
"space, humans, and farts","did you know that the planet jupiter has at least fifty moons? did you know that albert einstein's brain was stolen after he died?! learn more weird-but-true science facts with aj and andrea from dan gutman's my weird school series whether you're a kid who wants to learn more about science or simply someone who wants to know how many million times the earth could fit into the sun, this is the book for you!",curiosities and wonders; science,"Astronomy, Solar system, Jupiter (Planet), Moons, Science education, Children's literature, Popular science, Albert Einstein, Human body, Curiosity, Trivia","Astronomy,Solar system,Jupiter (Planet),Moon,Science teachers,Children's literature,Discoveries in science,Albert II, 1993-,Human body,Curiosity,Trivia",0.00,0.00,0.00,0.40,12.00
collecting the past : british collectors and their collections from the 18th to the 20th centuries,"""today's libraries and museums are heavily indebted to the passions and obsessions of numerous individual collectors who devoted their lives to amassing collections of books, manuscripts, artworks, and other culturally significant objects collecting the past brings together the latest research on a wide range of significant british collectors from the eighteenth to the twentieth centuries, including hans sloane, sarah sophia banks, thomas phillipps, sydney cockerell, j p morgan jnr, alfred chester beatty and r e hart contributors to the volume examine the phenomenon of collecting in a variety of settings and across a range of different materials considering the aims and motives that led these collectors to assemble such remarkable collections, the book also examines the history of these collections after the collector's death particular attention is given to the often complicated relationship between collectors and the public institutions that subsequently came to house their collections situated within the framework of cultural collecting more generally, this book offers an authoritative series of essays on key collectors collecting the past should be most interesting to researchers, academics and postgraduate students engaged in the study of museum studies, book history, manuscript studies, museum history, library history and the history of collecting professionals in libraries, museums and galleries will also find the volume of great interest""-- provided by publisher",collectors and collecting,"Collectors and collecting--Great Britain--History, Art--Collectors and collecting--Great Britain--History, Libraries--Great Britain--History, Museums--Great Britain--History, Cultural property--Great Britain--History, Book collecting--Great Britain--History, Manuscripts--Collectors and collecting--Great Britain--History, Private libraries--Great Britain--History, Museum studies, Library science--Great Britain--History","Antiques, Victorian,Antique collecting for men,Historical libraries,Wyrd Museum (London, England : Imaginary place),British property,Bookbinders' Strike, London, England, 1901,Manuscripts, Scottish,Royal libraries,Museum studies,Historical libraries",0.00,0.00,0.00,0.30,15.00
museums in a digital culture : how art and heritage become meaningful,"""the experience of engaging with art and history has been utterly transformed by information and communications technology in recent decades we now have virtual, mediated access to countless heritage collections and assemblages of artworks, which we intuitively browse and navigate in a way that wasn't possible until very recently this collection of essays takes up the question of the cultural meaning of the information and communications technology that makes these new engagements possible, asking questions like: how should we theorise the sensory experience of art and heritage? what does information technology mean for the authority and ownership of heritage?""--provided by publisher",communication in museums; museums,"Museums and technology, Art and technology, Cultural property—Digitization, Virtual museums, Art—Philosophy, Cultural property—Philosophy, Information technology—Social aspects, Digital media—Social aspects, Art—Exhibitions—Technological innovations, Heritage tourism—Technological innovations","Museum studies,Art and technology,Cultural property,Virtual museums,Art and philosophy,Cultural property,Communication and technology,Social media and television,Solo exhibitions (Art),Heritage tourism",0.00,0.00,0.00,0.55,9.00
creativity in museum practice,"""with this book museum professionals can learn how to unleash creative potential throughout their institution drawing from a wide range of research on creativity as well as insights from today's most creative museum leaders, the authors present at a set of practical principles about how museum workers at any level--not just those in ""creative positions""--can make a place for creativity in their daily practice replete with creativity exercises and stories from the field, they guide readers in developing an internal culture of creative learning, as well as delivering increased value to museum audiences""-- provided by publisher",museum techniques; creative thinking,"Museums--Management, Museums--Educational aspects, Creative ability, Organizational change, Museum techniques, Leadership, Creative thinking, Museum employees--Training of, Museum visitors--Services for, Organizational learning","For-profit museums,Museums and schools,Creative ability,Organizational change,Museum techniques,Leadership,Creative thinking,Volunteer workers in museums,Museum visitors,Organizational learning",1.00,0.20,0.46,0.61,10.00
