title,abstract,lcsh_subject_headings,predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the world almanac for kids 2012,"offers facts on a range of topics, from animals to weather and from computers to sports","almanacs, children's","Children's encyclopedias and dictionaries,Sports,Technology,Science,Almanacs,Weather,Children's,Curiosities and wonders,Animals,Computers","Children's encyclopedias and dictionaries,Sports,Technology,Science,Almanacs,Weather,Children,Curiosities and wonders,Animals,Computers",1.00,0.20,0.83,0.49,10.00
humanities and pedagogy : teaching of humanities today,"contributed papers presented at the international seminar on ""teaching of humanities"", what is needed now held in 2001 at ciefl",humanities; humanities,"Teaching,Interdisciplinary approach in education,Educational change,Humanities,Humanistic,Curriculum planning,Critical pedagogy,Education,Humanistic education","Teaching,Interdisciplinary approach in education,Educational change,Humanities,Humanistic psychology,Curriculum planning,Critical pedagogy,Education,Education, Humanistic",1.00,0.11,0.36,0.48,9.00
beyond coincidence : amazing stories of coincidence and the mystery behind them,"from magic and religion to subatomic particles and probability, a look at the baffling complexities of coincidence recounts more than two hundred bizarre stories of synchronicity",curiosities and wonders; coincidence,"Magic,Chance,Quantum theory,Religion and science,Synchronicity,Coincidence,Probabilities,Mystery,Fortune,Science,Coincidence in literature","Magic,Chance,Quantum theory,Religion and science,Syncretistic controversy,Coincidence,Probabilities,Mystery,Fortune,Science,Coincidence in literature",0.50,0.09,0.63,0.41,11.00
the new book of knowledge,"an illustrated encyclopedia with articles on history, literature, art and music, geography, mathematics, science, sports, and other topics some articles include activities, games, or experiments",children's encyclopedias and dictionaries,"Art,Children's encyclopedias and dictionaries,Encyclopedias and dictionaries,Science experiments,Literature,Sports,Reference books,History,Music,Mathematics,Science,Geography,Educational games,Illustrated books","Art,Children's encyclopedias and dictionaries,Encyclopedias and dictionaries,Experiments,Literature,Sports,Reference books,History,Music,Mathematics,Science,Geography,Educational games,Illustrated books",1.00,0.07,0.28,0.35,14.00
the future without a past : the humanities in a technological society,"""argues that technological imperatives like rationalization, universalism, monism, and autonomy have transformed the humanities and altered the relation between humans and nature examines technology and its impact on education, historical memory, and technological and literary values in criticism and theory, concluding with an analysis of the fiction of don delillo""--provided by publisher",humanities; technology and civilization; science and the humanities; humanities; learning and scholarship,"Humanities,Civilization,Technology and civilization,Literature and technology,History,Rationalism,Social values,Don,Autonomy (Philosophy),Critical theory,American fiction,Education,Modern,Monism,Collective memory,Postmodernism (Literature),DeLillo,Technology in literature,Technology","Humanities,Civilization,Technology and civilization,Literature and technology,History,Rationalism,Social values,Cutin,Autonomy (Philosophy),Critical theory,American fiction,Education,Post-modern . . .,Monism,Collective memory,Postmodernism (Literature),Pasillos,Technology in literature,Technology",0.50,0.11,0.34,0.47,19.00
"massachusetts treasures : a guide to marvelous, must-see museums","""well known for its world-renowned art museums--from the clark art institute in williamstown to the museum of fine arts in boston--massachusetts is also home to numerous institutions with more eclectic collections and, oftentimes, lower profiles these include mansfield's national black doll museum of history and culture, watertown's plumbing museum, and granville's noble and cooley center for historic preservation in massachusetts treasures, chuck d'imperio explores more than forty museums scattered throughout the bay state, from cape cod to the berkshires many--but not all--might be considered ""offbeat,"" and each and every one is enchanting through personal visits and interviews with founders and directors, d'imperio offers an inside glimpse into some of the commonwealth's most unique museums, providing a valuable guide for road warriors and history buffs discovering massachusetts either for the first or the tenth time""-- provided by publisher",museums,"Travel guides,Cultural tourism,Massachusetts,Museums,Specialty museums,Historic sites,Historic preservation","Tour guides (Manuals),Culture and tourism,Massachusetts,Museums,Small museums,Historic sites,Historic preservation",1.00,0.14,0.39,0.60,7.00
museum rhetoric : building civic identity in national spaces,"""examines the role of museums in promoting cultural heritage and national identity, focusing on rhetorical understandings of public space and civic engagement""--provided by publisher",museums; national museums; rhetoric; nationalism; cultural property,"Nationalism and collective memory,Nationalism,Civic improvement,Cultural property,Museum exhibits,Collective memory,Civic engagement,Communication in museology,Museums,Identity (Psychology),National characteristics,Group identity,Public spaces,Rhetoric","Nationalism and collective memory,Nationalism,Civic improvement,Cultural property,Museum exhibits,Collective memory,Civic improvement,Communication in museums,Museums,Identity (Psychology),National characteristics,Group identity,Public spaces,Rhetoric",0.80,0.29,0.66,0.61,14.00
museum activism,"""only a decade ago, the notion that museums, galleries and heritage organisations might engage in activist practice, with explicit intent to act upon inequalities, injustices and environmental crises, was met with scepticism and often derision seeking to purposefully bring about social change was viewed by many within and beyond the museum community as inappropriately political and antithetical to fundamental professional values today, although the idea remains controversial, the way we think about the roles and responsibilities of museums as knowledge-based, social institutions is changing museums and activism examines the increasing significance of this activist trend in thinking and practice at this crucial time in the evolution of museum thinking and practice, this ground-breaking volume brings together more than fifty contributors working across six continents to explore, analyse and critically reflect upon the museum's relationship to activism including contributions from practitioners, artists, activists and researchers, this wide-ranging examination of new and divergent expressions of the inherent power of museums as forces for good, and as activists in civil society, aims to encourage further experimentation and enrich the debate in this nascent and uncertain field of museum practice museum activism elucidates the largely untapped potential for museums as key intellectual and civic resources to address inequalities, injustice and environmental challenges this makes the book essential reading for scholars and students of museum and heritage studies, gallery studies, arts and heritage management and politics it will be a source of inspiration to museum practitioners and museum leaders around the globe""-- provided by publisher",museums; museums; museums; museum exhibits; social justice; social influence,"Cultural property,Environmental protection,Political participation,Museum techniques,Social movements,Social action,Social justice,Environmental responsibility,Anti-racism,Globalization,Social responsibility,Community development,Social change,Museum exhibits,Political activism,Museum curators,Museums,Museum studies,Environmental justice","Cultural property,Environmental protection,Political participation,Museum techniques,Social movements,Social action,Social justice,Environmental responsibility,Anti-racism,Globalization,Social rights,Community development,Social change,Museum exhibits,Activism,Museum curators,Museums,Museum studies,Environmental justice",0.75,0.16,0.40,0.62,19.00
mental-floss : the book : the greatest lists in the history of listory,"for ten years, the knowledge seekers at mental-floss have been hunting and trapping the world's rarest facts, locking them into captivating lists for the world to admire this book is packed with a decade's worth of the smartest, quirkiest stories around",lists,"Lists,Reference books,History,Popular culture,Trivia and miscellanea,Information organization,Facts (Philosophy),Theory of,Almanacs,Curiosities and wonders,Knowledge","Lists,Reference books,History,Popular culture,Miscellanea,Information organization,Facts (Philosophy),Theory,Almanacs,Curiosities and wonders,Knowledge and learning",1.00,0.09,0.28,0.30,11.00
snapshots of museum experience : understanding child visitors through photography,"""children are one of the major audiences for museums, but their visits are often seen solely from the point of view of museum learning in snapshots of museum experience, will buckingham draws upon elee kirk's research amongst child visitors to the oxford university museum of natural history, to take a different approach using a method of photo-elicitation with four- and five-year-old child visitors to the museum, the book investigates children's experience of the museum, and in the process undermines many of our assumptions about the interests, needs and demands of child museum visitors drawing together the fields of museum studies and childhood studies, the book considers children as active creators of the museum visit it investigates the way that children navigate and take control of the physical and social spaces of the museum, finding their own idiosyncratic pathways through these spaces it also explores how elements of the museum 'light up', becoming salient to the child visitor finally, it investigates how children make sense through intellectually and imaginatively engaging with these elements of the museum visit snapshots of museum experiences gives a unique insight into the sheer diversity of children's museum experiences and discusses how museums might cater more successfully to the needs of their child visitors as such, it should be of great interest to academics, researchers and students in the fields of museum studies, visitor studies and childhood studies it should also be essential reading for museum educators and exhibition designers""-- provided by publisher",museums and children,"Natural history museums,Social interaction in children,Elementary,Experiential learning,Imagination in children,Visitor participation in museum planning,Space perception in children,Qualitative research,Child psychology,Environmental psychology,Education,Photography in ethnology,Children as museum visitors,Visual sociology,Museum exhibits,Childhood,Museums,Museum studies,Child development,Ethnology","Natural history museums,Social interaction in children,Elementary works,Experiential learning,Imagination in children,Museum registration methods,Space perception in children,Qualitative research,Child psychology,Environmental psychology,Education,Photography in ethnology,Children's museums,Visual sociology,Museum exhibits,Childhood,Museums,Museum studies,Child development,Ethnology",0.00,0.00,0.00,0.43,20.00
nomenclature 30 for museum cataloging,"""nomenclature 30 is a much-expanded edition of robert g chenhall's system for classifying man-made objects, originally published in 1978 the chenhall system is the standard cataloging tool for thousands of museums and historical organizations across the united states and canada in this third edition, three new hierarchical levels of terms allow for more precise definitions of objects and their functions every classification and object term has been reviewed and revised as needed by a professional task force appointed by the american association for state and local history""--publisher's description",museum registration methods,"Chenhall,Classification,American Association for State and Local History,Museum objects,Cataloging,Terminology as Topic,Historical organizations,Robert G. System for classifying man-made objects,Museums,Man-made objects,Nomenclature 30","Brydalen,Classification,Statesmen as authors,Museum objects,Cataloging,Terminology and classification,History, organization, etc,Optical pattern recognition,Museums,Miniature objects,Nomenclature",0.00,0.00,0.00,0.29,11.00
the digital humanities : a primer for students and scholars,"""the digital humanities is a comprehensive introduction and practical guide to how humanists use the digital to conduct research, organize materials, analyze, and publish findings it summarizes the turn toward the digital that is reinventing every aspect of the humanities among scholars, libraries, publishers, administrators, and the public beginning with some definitions and a brief historical survey of the humanities, the book examines how humanists work, what they study, and how humanists and their research have been impacted by the digital and how, in turn, they shape it it surveys digital humanities tools and their functions, the digital humanists' environments, and the outcomes and reception of their work the book pays particular attention to both theoretical underpinnings and practical considerations for embarking on digital humanities projects it places the digital humanities firmly within the historical traditions of the humanities and in the contexts of current academic and scholarly life""-- provided by publisher",digital humanities; humanities; humanities; humanities; humanists; digital media; digital communications; information storage and retrieval systems,"Research,manuals,Scholars,Academic writing,Information storage and retrieval systems,Humanities,Digital media,Learning and scholarship,Academic libraries,Digital tools,Education,Digital humanities,Scholarly publishing,Communication in learning and scholarship,Higher,etc","Research,Technical manuals,Scholars,Academic writing,Information storage and retrieval systems,Humanities,Digital media,Learning and scholarship,Academic libraries,Machine-tools,Education,Digital humanities,Scholarly publishing,Communication in learning and scholarship,Number,Messages",0.67,0.25,0.51,0.55,16.00
signs & symbols,"from simple shapes and colors to gods, mythical beasts, sacred rituals, and global branding, over 2,000 signs and symbols are explained through text, illustrations, and photography grouped thematically and comprehensively cross-referenced includes the physical world, animals, plants, humans, colors, shapes, patterns, numbers, picture writing, alphabets, international signs, professional signs, brands and logos, heraldic emblems, national flags, sign languages and signals, and symbolic gestures",signs and symbols; signs and symbols; signs and symbols,"Signals and signaling,Mythological animals,Symbolism,Picture-writing,Sacred rituals,Color,Logos (Symbols),Numbers,Alphabets,Gestures,Sacred space,Ideograms,Corporate image,Mythology,Branding (Marketing),Corporate logos.,Visual communication,Shapes,Writing systems,Nonverbal communication,Semiotics,Sign language,Religious symbols,Heraldry,Ritual,Emblems,Flags,Signs and symbols","Signals and signaling,Animals, Mythical,Symbolism,Picture-writing,Rituals,Color,Logos (Symbols),Numbers,Alphabets,Gesture,Sacred space,Anagrams,Corporate image,Mythology,Branding (Marketing),Trademarks,Visual communication,Shapes,Writing systems,Nonverbal communication,Semiotics,Sign language,Religious identity,Heraldry,Ritual,Emblems,Flags,Signs and symbols",1.00,0.04,0.24,0.36,28.00
the digital humanities and the digital modern,"this book provides new critical and methodological approaches to digital humanities, intended to guide technical development as well as critical analysis informed by the history of technology and culture and new perspectives on modernity, smithies grounds his claims in the engineered nature of computing devices and their complex entanglement with our communities, our scholarly traditions, and our sense of self the distorting mentalité of the digital modern informs our attitudes to computers and computationally intensive research, leading scholars to reject articulations of meaning that admit the interdependence of humans and the complex socio-technological systems we are embedded in by framing digital humanities with the digital modern, researchers can rebuild our relationship to technical development, and seek perspectives that unite practical and critical activity this requires close attention to the cyber-infrastructures that inform our research, the software-intensive methods that are producing new knowledge, and the ethical issues implicit in the production of digital humanities tools and methods the book will be of interest to anyone interested in the intersection of technology with humanities research, and the future of digital humanities -- from publisher's website",digital humanities,"Humanities,Digital media,Technology and civilization,Information technology,Critical theory,Information society,Technology,Digital Humanities,Cyberinfrastructure","Humanities,Digital media,Technology and civilization,Information technology,Critical theory,Information society,Technology,Digital humanities,Cyberinfrastructure",1.00,0.11,0.30,0.51,9.00
"space, humans, and farts","did you know that the planet jupiter has at least fifty moons? did you know that albert einstein's brain was stolen after he died?! learn more weird-but-true science facts with aj and andrea from dan gutman's my weird school series whether you're a kid who wants to learn more about science or simply someone who wants to know how many million times the earth could fit into the sun, this is the book for you!",curiosities and wonders; science,"My weird school series,Astronomy,Science,Human physiology,Curiosities and wonders,Children's literature","Television mini-series,Astronomy,Science,Human physiology,Curiosities and wonders,Children's literature",1.00,0.33,0.48,0.57,6.00
collecting the past : british collectors and their collections from the 18th to the 20th centuries,"""today's libraries and museums are heavily indebted to the passions and obsessions of numerous individual collectors who devoted their lives to amassing collections of books, manuscripts, artworks, and other culturally significant objects collecting the past brings together the latest research on a wide range of significant british collectors from the eighteenth to the twentieth centuries, including hans sloane, sarah sophia banks, thomas phillipps, sydney cockerell, j p morgan jnr, alfred chester beatty and r e hart contributors to the volume examine the phenomenon of collecting in a variety of settings and across a range of different materials considering the aims and motives that led these collectors to assemble such remarkable collections, the book also examines the history of these collections after the collector's death particular attention is given to the often complicated relationship between collectors and the public institutions that subsequently came to house their collections situated within the framework of cultural collecting more generally, this book offers an authoritative series of essays on key collectors collecting the past should be most interesting to researchers, academics and postgraduate students engaged in the study of museum studies, book history, manuscript studies, museum history, library history and the history of collecting professionals in libraries, museums and galleries will also find the volume of great interest""-- provided by publisher",collectors and collecting,"Collectors and collecting,Sir,Cultural property,Library science,1792-1872,Cockerell,Sloane,1867-1962,Sydney Carlyle,1744-1818,Manuscripts,Art collectors,Book collecting,Collecting of historical artifacts,Cultural philanthropy,Libraries,Hans,Banks,Thomas,Phillipps,1660-1753,Art,Sarah Sophia,Museums,Private libraries,Museum studies,Cultural heritage","Collectors and collecting,Fair Day Mine,Cultural property,Library science,1792-1815,Nuttall cockle,Sloanea,1867-1959,Caroline Wheal Prosper,1760-1820,Manuscripts,Artists as art collectors,Book collecting,Archaeological collections,Self-culture,Libraries,Hanswurst,Banks and banking,Thomas,Manila clam,1660-1714,Art,Sophia (The Greek word),Museums,Private libraries,Museum studies,Heritage tourism",1.00,0.04,0.22,0.33,27.00
museums in a digital culture : how art and heritage become meaningful,"""the experience of engaging with art and history has been utterly transformed by information and communications technology in recent decades we now have virtual, mediated access to countless heritage collections and assemblages of artworks, which we intuitively browse and navigate in a way that wasn't possible until very recently this collection of essays takes up the question of the cultural meaning of the information and communications technology that makes these new engagements possible, asking questions like: how should we theorise the sensory experience of art and heritage? what does information technology mean for the authority and ownership of heritage?""--provided by publisher",communication in museums; museums,"Art,Art and technology,Cultural property,Information technology,Virtual museums,Museums,Technology and the arts,Digital humanities","Art,Art and technology,Cultural property,Information technology,Virtual museums,Museums,Technology and the arts,Digital humanities",0.50,0.12,0.36,0.53,8.00
creativity in museum practice,"""with this book museum professionals can learn how to unleash creative potential throughout their institution drawing from a wide range of research on creativity as well as insights from today's most creative museum leaders, the authors present at a set of practical principles about how museum workers at any level--not just those in ""creative positions""--can make a place for creativity in their daily practice replete with creativity exercises and stories from the field, they guide readers in developing an internal culture of creative learning, as well as delivering increased value to museum audiences""-- provided by publisher",museum techniques; creative thinking,"Creative thinking,Cultural leadership,Museum techniques,Creative teaching,Organizational change,Organizational effectiveness,Organizational learning,Corporate culture,Creative ability,Museum exhibits,Museum visitors,Museums,Leadership,Museum employees,Problem solving,Employees,Creative ability in business","Creative thinking,Cultural awareness,Museum techniques,Creative teaching,Organizational change,Organizational effectiveness,Organizational learning,Corporate culture,Creative ability,Museum exhibits,Museum visitors,Museums,Leadership,Volunteer workers in museums,Problem solving,Employees,Creative ability in business",1.00,0.12,0.65,0.52,17.00
feminist in a software lab : difference + design,"tara mcpherson asks what might it mean to design--from conception--digital tools and applications that emerge from contextual concerns of cultural theory and from a feminist concern for difference this question leads to the vectors lab, which for a dozen years has experimented with digital scholarship at the intersection of theory and praxis-- provided by publisher",digital humanities; computer software; scholarly electronic publishing; software engineering; computers and women,"Intersectionality (Sociology),Women in technology,Difference (Philosophy),Digital media,Human-computer interaction,Information technology,Computer software,Critical theory,Praxis (Process),Social justice and technology,Software engineering,Feminism and technology,Technology,Digital humanities,Feminist theory","Intersectionality (Sociology),Women in technology,Difference (Philosophy),Digital media,Human-computer interaction,Information technology,Computer software,Critical theory,Contact process,Social justice,Software engineering,Technology and women,Technology,Digital humanities,Feminist theory",0.60,0.20,0.40,0.58,15.00
the etymologies of isidore of seville,"""this work is the first complete english translation of the latin etymologies of isidore, bishop of seville (c560-636) isidore compiled the work between c615 and the early 630s and it takes the form of an encyclopedia, arranged by subject matter it contains much lore of the late classical world beginning with the seven liberal arts, including rhetoric, and touches on thousands of topics ranging from the names of god, the terminology of the law, the technologies of fabrics, ships and agriculture to the names of cities and rivers, the theatrical arts, and cooking utensils isidore provides etymologies for most of the terms he explains, finding in the causes of words the underlying key to their meaning this book offers a highly readable translation of the twenty books of the etymologies, one of the most widely known texts for a thousand years from isidore's time""--provided by publisher","encyclopedias and dictionaries; latin language; didactic literature, latin (medieval and modern)","Etymologiae (Isidore,Christian saints,Saint),Encyclopedias and dictionaries,Bishops,of Seville,Medieval,Learning and scholarship,Civilization,500-1500,Science,Latin language,Classical literature","Convallaria,Christian saints,Santūr,Encyclopedias and dictionaries,Bishops,Seville,Middle Ages,Learning and scholarship,Civilization,500-1500,Science,Latin language,Classical literature",0.50,0.15,0.36,0.47,13.00
dk online encyclopedia,"there is a wealth of incredible facts and images online if only we know where to look this book combines the best of a traditional encyclopedia with a dedicated web site created by google, the world's leading search engine together they guide the reader to the most amazing sites the web has to offer",children's encyclopedias and dictionaries; computer network resources; homework,"Research,Encyclopedias and dictionaries,Digital media,Internet in education,Information resources,Internet searching,Computer network resources,Electronic reference sources,Interactive multimedia,Electronic encyclopedias,Information retrieval,World Wide Web","Research,Encyclopedias and dictionaries,Digital media,Internet in education,Information resources,Internet searching,Computer network resources,Electronic reference sources,Interactive multimedia,Electronic encyclopedias,Information retrieval,World Wide Web",0.33,0.08,0.33,0.49,12.00
childcraft : the how and why library,"presents illustrated articles, stories, and poems, grouped thematically in fifteen volumes",children's encyclopedias and dictionaries,"Interdisciplinary approach in education,Children's encyclopedias and dictionaries,Curiosity in children,Illustrated children's books,Learning and scholarship,Elementary,Education,Children's questions and answers,Children's literature","Interdisciplinary approach in education,Children's encyclopedias and dictionaries,Curiosity in children,Illustrated children's books,Learning and scholarship,Elementary works,Education,Children's questions and answers,Children's literature",1.00,0.11,0.32,0.44,9.00
