title,abstract,true_labels,predicted_labels,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the world almanac for kids 2012,"offers facts on a range of topics, from animals to weather and from computers to sports","almanacs, children's",children's questions and answers; science; history; geography; biography; calendar; education; mathematics; health; food; technology; nature study; social sciences; religion; literature; music; art; hobbies; games; recreation; holidays; festivals; cooking; crafts; business; money; economics; government; politics; military affairs; space exploration; astronomy; earth sciences; biology; chemistry; physics; medicine; inventions; discoveries; inventors; explorers; scientists; athletes; entertainers;,"Children's questions and answers,Science,History,Geography,Biography,Calendar,Education,Mathematics,Health,Food,Technology,Nature study,Social sciences,Religion,Literature,Music,Art,Hobbies,Games,Recreation,Holidays,Festivals,Cooking,Arts and crafts movement,Business,Money,Economics,Government,Politics and government,Military relations,Exploration,Astronomy,Earth sciences,Biology,Chemistry,Physics,Medicine,Inventions,Discoveries in science,Inventors,Explorers,Scientists,Athletes,Entertainers,Change",0.00,0.00,0.00,0.34,45.00
humanities and pedagogy : teaching of humanities today,"contributed papers presented at the international seminar on ""teaching of humanities"", what is needed now held in 2001 at ciefl",humanities; humanities,"humanism; education, higher; teachers; teacher-student relationships; educational leadership; academic freedom; social sciences; language arts; literature; philosophy; history; religion; art; music; drama; dance; physical education and training; languages, modern; mathematics; science; technology; library science; information science; mass media; communication; culture; civilization; ethics; values; universities and colleges; college students; student participation in administration of schools; school management and organization; curriculum planning; curricula","Humanism,Education, Higher,Teachers,Teacher-student relationships,Educational leadership,Academic freedom,Social sciences,Language arts,Literature,Philosophy,History,Religion,Art,Music,Drama,Dance,Physical education and training,Languages, Modern,Mathematics,Science,Technology,Library science,Information science,Mass media,Communication,Culture,Civilization,Ethics,Values,Universities and colleges,College students,Student participation in administration,School management and organization,Curriculum planning,Curricula",0.00,0.00,0.00,0.36,37.00
beyond coincidence : amazing stories of coincidence and the mystery behind them,"from magic and religion to subatomic particles and probability, a look at the baffling complexities of coincidence recounts more than two hundred bizarre stories of synchronicity",curiosities and wonders; coincidence,"coincidences; chance; causality; destiny (philosophy); luck; miracles; paranormal phenomena; parapsychology; psychic ability; precognition; telepathy; psychokinesis; ghosts; fortune-telling; astrology; numerology; divination; omens; dreams; near-death experiences; reincarnation; spiritualism; mysticism; occultism; supernatural; philosophy, ancient; philosophy, medieval; philosophy, modern; philosophy, oriental; psychology, religious; theology;","Coincidence,Chance,Causality (Physics),Prophecy,Months,Miracles,Near-death experiences,Parapsychology,Psychic ability,Precognition,Telepathy,Psychokinesis,Ghosts,Fortune-telling,Astrology,Numerology,Divination,Omens,Dreams,Near-death experiences,Reincarnation,Spiritualism,Mysticism,Occultism,Supernatural,Philosophy, Ancient,Philosophy, Medieval,Philosophy, Modern,Philosophy, Asian,Psychology, Religious,Theology,Change",0.50,0.03,0.22,0.29,33.00
the new book of knowledge,"an illustrated encyclopedia with articles on history, literature, art and music, geography, mathematics, science, sports, and other topics some articles include activities, games, or experiments",children's encyclopedias and dictionaries,general information sources; encyclopedias and dictionaries; reference books in education; children's questions and answers; educational tests and measurements; reading comprehension; vocabulary building; english language; communication skills; learning ability; child development; early childhood education; elementary school teaching; middle schools; high schools; libraries; library catalogs; internet searching; web sites; world wide web; computer networks; computers; technology; science; arts; social sciences; human behavior; philosophy; religion; christianity; bible,"Information resources,Encyclopedias and dictionaries,Textbooks for older people,Children's questions and answers,Educational tests and measurements,Reading comprehension,Vocabulary,English language,Communication teachers,Learning ability,Child development,Early childhood education,Elementary school teaching,Middle schools,High schools,Libraries,Library catalogs,Internet searching,Web sites,World Wide Web,Computer networks,Computers,Technology,Science,Arts,Social sciences,Human behavior,Philosophy,Religion,Christianity,Bible",0.00,0.00,0.00,0.28,31.00
the future without a past : the humanities in a technological society,"""argues that technological imperatives like rationalization, universalism, monism, and autonomy have transformed the humanities and altered the relation between humans and nature examines technology and its impact on education, historical memory, and technological and literary values in criticism and theory, concluding with an analysis of the fiction of don delillo""--provided by publisher",humanities; technology and civilization; science and the humanities; humanities; learning and scholarship,"humanistic approach in literature; postmodernism (literature); science in literature; technology in literature; modernism (aesthetics); civilization, modern; culture and history; philosophy and civilization; social sciences; arts, modern; art and technology; aesthetics, modern; universities and colleges; higher education and state; educational change; education, higher; liberal studies; general knowledge; critical thinking; communication in learning and scholarship; information literacy; digital media; internet in education; computer-assisted instruction","Humanists in literature,Postmodernism (Literature),Science in literature,Technology in literature,Modernism (Aesthetics),Civilization, Modern,History in popular culture,Philosophy and civilization,Social sciences,Arts, Modern,Art and technology,Aesthetics, Modern,Universities and colleges,Higher education and state,Educational change,Education, Higher,Liberalism,Knowledge, Theory of,Critical thinking,Communication in learning and scholarship,Information literacy,Digital media,Internet in education,Computer-assisted instruction",0.00,0.00,0.00,0.47,27.00
"massachusetts treasures : a guide to marvelous, must-see museums","""well known for its world-renowned art museums--from the clark art institute in williamstown to the museum of fine arts in boston--massachusetts is also home to numerous institutions with more eclectic collections and, oftentimes, lower profiles these include mansfield's national black doll museum of history and culture, watertown's plumbing museum, and granville's noble and cooley center for historic preservation in massachusetts treasures, chuck d'imperio explores more than forty museums scattered throughout the bay state, from cape cod to the berkshires many--but not all--might be considered ""offbeat,"" and each and every one is enchanting through personal visits and interviews with founders and directors, d'imperio offers an inside glimpse into some of the commonwealth's most unique museums, providing a valuable guide for road warriors and history buffs discovering massachusetts either for the first or the tenth time""-- provided by publisher",museums,"museums; cultural property; historical museums; museology; curators; collecting of antiques and collectibles; antiquities dealers; collectors and collecting; art museums; art galleries, commercial; art museums; art galleries, commercial; social sciences -- research; ethnological museums; anthropology museums; natural history museums; science museums; children's museums; historic sites; historic buildings; historic houses; historic districts; historic sites; historic buildings; historic houses; historic districts; folk life museums; folklore museums;","Museums,Cultural property,Historical museums,Museum studies,Curatorship,Antiques as an investment,Antiquities,Collectors and collecting,Art museums,Art galleries, Commercial,Art museums,Art galleries, Commercial,Social sciences,Ethnological museums and collections,Anthropological museums and collections,Natural history museums,Science museums,Children's museums,Historic sites,Historic buildings,Historic apartment houses,Historic districts,Historic sites,Historic buildings,Historic apartment houses,Historic districts,Ethnological museums and collections,Folklore archives,Change",1.00,0.04,0.30,0.61,23.00
museum rhetoric : building civic identity in national spaces,"""examines the role of museums in promoting cultural heritage and national identity, focusing on rhetorical understandings of public space and civic engagement""--provided by publisher",museums; national museums; rhetoric; nationalism; cultural property,museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums,"Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums",0.20,1.00,1.00,1.00,1.00
museum activism,"""only a decade ago, the notion that museums, galleries and heritage organisations might engage in activist practice, with explicit intent to act upon inequalities, injustices and environmental crises, was met with scepticism and often derision seeking to purposefully bring about social change was viewed by many within and beyond the museum community as inappropriately political and antithetical to fundamental professional values today, although the idea remains controversial, the way we think about the roles and responsibilities of museums as knowledge-based, social institutions is changing museums and activism examines the increasing significance of this activist trend in thinking and practice at this crucial time in the evolution of museum thinking and practice, this ground-breaking volume brings together more than fifty contributors working across six continents to explore, analyse and critically reflect upon the museum's relationship to activism including contributions from practitioners, artists, activists and researchers, this wide-ranging examination of new and divergent expressions of the inherent power of museums as forces for good, and as activists in civil society, aims to encourage further experimentation and enrich the debate in this nascent and uncertain field of museum practice museum activism elucidates the largely untapped potential for museums as key intellectual and civic resources to address inequalities, injustice and environmental challenges this makes the book essential reading for scholars and students of museum and heritage studies, gallery studies, arts and heritage management and politics it will be a source of inspiration to museum practitioners and museum leaders around the globe""-- provided by publisher",museums; museums; museums; museum exhibits; social justice; social influence,museums; art museums; cultural property; public history; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums;,"Museums,Art museums,Cultural property,Public history,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Change",0.25,0.20,0.50,0.60,5.00
mental-floss : the book : the greatest lists in the history of listory,"for ten years, the knowledge seekers at mental-floss have been hunting and trapping the world's rarest facts, locking them into captivating lists for the world to admire this book is packed with a decade's worth of the smartest, quirkiest stories around",lists,"miscellaneous; trivia questions and answers; curiosities and wonders; popular culture; mass media; internet publishing; blogs; web sites; online social networks; information technology; science fiction films; comic books, strips, etc; cartoons and comics; video games; music; television programs; movies; celebrities; humorists, american; authors, american; journalists, american; food habits; cooking; restaurants; travel; vacations; holidays; festivals; sports; hobbies; toys; collectibles; antiques","Order,Trivia,Curiosities and wonders,Popular culture,Mass media,Internet publishing,Blogs,Web sites,Online social networks,Information technology,Science fiction films,Comic books, strips, etc,Editorial cartoons,Video games,Music,Television programs,Films,Celebrities,Humorists, American,Authors, American,Journalists,Food habits,Cooking,Restaurants,Travel,Vacations,Holidays,Festivals,Sports,Hobbies,Toys,Collectibles,Antiques",0.00,0.00,0.00,0.24,36.00
snapshots of museum experience : understanding child visitors through photography,"""children are one of the major audiences for museums, but their visits are often seen solely from the point of view of museum learning in snapshots of museum experience, will buckingham draws upon elee kirk's research amongst child visitors to the oxford university museum of natural history, to take a different approach using a method of photo-elicitation with four- and five-year-old child visitors to the museum, the book investigates children's experience of the museum, and in the process undermines many of our assumptions about the interests, needs and demands of child museum visitors drawing together the fields of museum studies and childhood studies, the book considers children as active creators of the museum visit it investigates the way that children navigate and take control of the physical and social spaces of the museum, finding their own idiosyncratic pathways through these spaces it also explores how elements of the museum 'light up', becoming salient to the child visitor finally, it investigates how children make sense through intellectually and imaginatively engaging with these elements of the museum visit snapshots of museum experiences gives a unique insight into the sheer diversity of children's museum experiences and discusses how museums might cater more successfully to the needs of their child visitors as such, it should be of great interest to academics, researchers and students in the fields of museum studies, visitor studies and childhood studies it should also be essential reading for museum educators and exhibition designers""-- provided by publisher",museums and children,museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums;,"Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Change",0.00,0.00,0.00,0.50,2.00
nomenclature 30 for museum cataloging,"""nomenclature 30 is a much-expanded edition of robert g chenhall's system for classifying man-made objects, originally published in 1978 the chenhall system is the standard cataloging tool for thousands of museums and historical organizations across the united states and canada in this third edition, three new hierarchical levels of terms allow for more precise definitions of objects and their functions every classification and object term has been reviewed and revised as needed by a professional task force appointed by the american association for state and local history""--publisher's description",museum registration methods,"museums; museology; museums; museology; art collections; art collections; cultural property; cultural property; terminology; terminology; catalogs, card; catalogs, card; library science; library science; information storage and retrieval systems; information storage and retrieval systems; classification; classification; libraries; libraries; archives; archives; historic buildings; historic buildings; architecture; architecture; architectural photography; architectural photography; photographs; photographs; picture framing; picture framing; antiques dealers' marks; antiques dealers'","Museums,Museum studies,Museums,Museum studies,Art collections,Art collections,Cultural property,Cultural property,Terminology,Terminology,Catalog cards,Catalog cards,Library science,Library science,Information storage and retrieval systems,Information storage and retrieval systems,Classification,Classification,Libraries,Libraries,Archives,Archives,Historic buildings,Historic buildings,Architecture,Architecture,Architectural photography,Architectural photography,Photographs,Photographs,Picture frames and framing,Picture frames and framing,Mail-order antiques business,Antiques business",0.00,0.00,0.00,0.30,18.00
the digital humanities : a primer for students and scholars,"""the digital humanities is a comprehensive introduction and practical guide to how humanists use the digital to conduct research, organize materials, analyze, and publish findings it summarizes the turn toward the digital that is reinventing every aspect of the humanities among scholars, libraries, publishers, administrators, and the public beginning with some definitions and a brief historical survey of the humanities, the book examines how humanists work, what they study, and how humanists and their research have been impacted by the digital and how, in turn, they shape it it surveys digital humanities tools and their functions, the digital humanists' environments, and the outcomes and reception of their work the book pays particular attention to both theoretical underpinnings and practical considerations for embarking on digital humanities projects it places the digital humanities firmly within the historical traditions of the humanities and in the contexts of current academic and scholarly life""-- provided by publisher",digital humanities; humanities; humanities; humanities; humanists; digital media; digital communications; information storage and retrieval systems,digital humanities; computer science in education; information technology; internet in higher education; library resources; social media; web 20; online social networks; blogs; educational technology; learning and scholarship; knowledge management; communication in learning and scholarship; data mining in literature; text analysis; digitization (digital technique); digital preservation; digital images; image processing; electronic publishing; open access publications; e-books; academic writing; authorship; copyright law; intellectual property; digital art; multimedia systems; virtual,"Digital humanities,Computer science,Information technology,Internet in higher education,Library resources,Social media,Web 2.0,Online social networks,Blogs,Educational technology,Learning and scholarship,Knowledge management,Communication in learning and scholarship,Mining literature,Text data mining,Digitization,Digital preservation,Digital images,Image processing,Electronic publishing,Open access publishing,Electronic books,Academic writing,Authorship,Fair use (Copyright),Intellectual property,Copy art,Multimedia systems,Virtual work",0.17,0.03,0.26,0.44,29.00
signs & symbols,"from simple shapes and colors to gods, mythical beasts, sacred rituals, and global branding, over 2,000 signs and symbols are explained through text, illustrations, and photography grouped thematically and comprehensively cross-referenced includes the physical world, animals, plants, humans, colors, shapes, patterns, numbers, picture writing, alphabets, international signs, professional signs, brands and logos, heraldic emblems, national flags, sign languages and signals, and symbolic gestures",signs and symbols; signs and symbols; signs and symbols,"pictorial works; semiotics in art; symbolism in art; graphic design (typography); visual communication; iconography; heraldry; coats of arms; trademarks; brand name products; advertising; flags; gesture language; handbooks, vade-mecums, etc; dictionaries; encyclopedias and dictionaries; reference books; art appreciation; aesthetics; human beings; nature; color; geometry; mathematics; numerals; alchemy; astrology; mythology; religion; magic; occult","Pictorial works,Semiotics and art,Symbolism in art,Graphic design (Typography),Visual communication,Iconography,Heraldry,Coats,Trademarks,Brand name products,Advertising,Flags,Speech and gesture,Handbooks, vade-mecums, etc,Dictionaries,Encyclopedias and dictionaries,Reference books,Art appreciation,Aesthetics,Human beings,Nature,Color,Geometry,Mathematics,Numerals,Alchemy,Astrology,Mythology,Religion,Magic,Occultism",0.00,0.00,0.00,0.23,33.00
