title,abstract,true_labels,predicted_labels,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the world almanac for kids 2012,"offers facts on a range of topics, from animals to weather and from computers to sports","almanacs, children's",children's encyclopedias and dictionaries; reference books in education; educational games; picture puzzles; trivia questions and answers; word games; puzzle books; board games; jigsaw puzzles; calendars; yearbooks; questionnaires; quiz shows; television programs; radio programs; internet broadcasting; computer games; video games; electronic publishing; web sites; comic strips; cartoons;,"Children's encyclopedias and dictionaries,Textbooks for young adults,Educational games,Picture puzzles,Trivia,Word games,Blank-books,Board games,Jigsaw puzzles,Calendars,Yearbooks,Questionnaires,Television quiz shows,Television programs,Radio programs,Internet radio broadcasting,Video games,Video games,Electronic publishing,Web sites,Comic strip characters,Cartooning,Change",0.00,0.00,0.00,0.34,23.00
humanities and pedagogy : teaching of humanities today,"contributed papers presented at the international seminar on ""teaching of humanities"", what is needed now held in 2001 at ciefl",humanities; humanities,humanism; education; social sciences; arts; culture; civilization; literature; philosophy; religion; history; language and languages; mathematics; science; music; art; drama; theater; dance; physical education and training; sociology; psychology; anthropology; economics; political science; geography; linguistics; classical philology; oriental studies; archaeology; folklore; women's rights; sex role; gender identity; minorities; ethnic groups; nationalism; national characteristics; cultural pluralism; multiculturalism,"Humanism,Education,Social sciences,Arts,Culture,Civilization,Literature,Philosophy,Religion,History,Language and languages,Mathematics,Science,Music,Art,Drama,Theater,Dance,Physical education and training,Sociology,Psychology,Anthropology,Economics,Political science,Geography,Linguistics,Classical philology,Influence on Oriental,Archaeology,Folklore,Women's rights,Sex role,Gender identity,Minorities,Ethnic groups,Nationalism,National characteristics,Cultural pluralism,Multiculturalism",0.00,0.00,0.00,0.38,39.00
beyond coincidence : amazing stories of coincidence and the mystery behind them,"from magic and religion to subatomic particles and probability, a look at the baffling complexities of coincidence recounts more than two hundred bizarre stories of synchronicity",curiosities and wonders; coincidence,coincidences; luck; fate and fatalism; chance; causality; miracles; paranormal phenomena; spiritual life; mysticism; religious experiences; near-death experiences; reincarnation; precognition; psychokinesis; telepathy; clairvoyance; astrology; fortune-telling; divination; dreams; parapsychology; psychic ability; extrasensory perception; intuition; predestination (theodicy); destiny (philosophy) in literature; fiction -- psychological aspects; psychology,"Coincidence,Chance,Fate and fatalism,Chance,Causality (Physics),Miracles,Hallucinations and illusions,Spiritual life,Mysticism,Experience (Religion),Near-death experiences,Reincarnation,Precognition,Psychokinesis,Telepathy,Clairvoyance,Astrology,Fortune-telling,Divination,Dreams,Parapsychology,Psychic ability,Extrasensory perception,Intuition,Predestination,End of the world in literature,Fictions, Theory of,Psychology",0.00,0.00,0.00,0.32,28.00
the new book of knowledge,"an illustrated encyclopedia with articles on history, literature, art and music, geography, mathematics, science, sports, and other topics some articles include activities, games, or experiments",children's encyclopedias and dictionaries,children's encyclopedias; reference books in education; educational technology; learning disabilities; gifted students; special education; curriculum planning; classroom environment; schools; teaching; teachers; teacher-student relationships; child development; early childhood education; elementary school teaching; middle school teaching; high school teaching; college teaching; universities and colleges; academic achievement; student-teacher relationship; parent-child relations; parenting; family life education; social skills; self-esteem in children; character; values; conduct of,"Children's encyclopedias and dictionaries,Textbooks for young adults,Educational technology,Learning disabilities,Teachers of gifted children,Special education,Curriculum planning,Classroom environment,Schools,Teaching,Teachers,Teacher-student relationships,Child development,Early childhood education,Elementary school teaching,Middle school teaching,High school teaching,College teaching,Universities and colleges,Academic achievement,Teacher-student relationships,Relations,Parenting,Family life education,Social skills,Self-esteem in children,Character,Values,Conduction",0.00,0.00,0.00,0.22,29.00
the future without a past : the humanities in a technological society,"""argues that technological imperatives like rationalization, universalism, monism, and autonomy have transformed the humanities and altered the relation between humans and nature examines technology and its impact on education, historical memory, and technological and literary values in criticism and theory, concluding with an analysis of the fiction of don delillo""--provided by publisher",humanities; technology and civilization; science and the humanities; humanities; learning and scholarship,"humanistic literacy; postmodernism; technocracy; modernism (literature); literature and science; philosophy and science; civilization, modern; culture conflict; social change; progressivism (united states politics) ; critical pedagogy; curriculum planning; educational sociology; higher education and state; universities and colleges; arts; art and technology; aesthetics; ethics; religion and technology; communication and technology; mass media; information society; globalization; global village; digital divide; internet; computer networks","Writing, Humanistic,Postmodernism,Technocracy,Modernism (Literature),Literature and science,Philosophy and science,Civilization, Modern,Culture conflict,Social change,Progressivism (United States politics),Critical pedagogy,Curriculum planning,Educational sociology,Higher education and state,Universities and colleges,Arts,Art and technology,Aesthetics,Ethics,Religious invention,Communication and technology,Mass media,Information society,Globalization,Village communities,Digital divide,Internet,Computer networks",0.00,0.00,0.00,0.47,29.00
"massachusetts treasures : a guide to marvelous, must-see museums","""well known for its world-renowned art museums--from the clark art institute in williamstown to the museum of fine arts in boston--massachusetts is also home to numerous institutions with more eclectic collections and, oftentimes, lower profiles these include mansfield's national black doll museum of history and culture, watertown's plumbing museum, and granville's noble and cooley center for historic preservation in massachusetts treasures, chuck d'imperio explores more than forty museums scattered throughout the bay state, from cape cod to the berkshires many--but not all--might be considered ""offbeat,"" and each and every one is enchanting through personal visits and interviews with founders and directors, d'imperio offers an inside glimpse into some of the commonwealth's most unique museums, providing a valuable guide for road warriors and history buffs discovering massachusetts either for the first or the tenth time""-- provided by publisher",museums,museums; cultural property; curiosities and wonders; antiques dealers' catalogs; antiquarian booksellers' catalogs; collectibles; collecting of objects; artifacts; historical reenactments; folk festivals; folklore; popular culture; social life and customs; material culture; ethnology; regionalism (us literature); local color in literature; american wit and humor; americana; americana; americana; americana; americana; americana; americana; americana; americana,"Museums,Cultural property,Curiosities and wonders,Antiques business,Antiquarian booksellers,Collectibles,Collectibles,Alien artifacts,Historical reenactments,Folk festivals,Folklore,Popular culture,Social life and customs,Material culture,Ethnology,Regionalism in literature,Local color in literature,American wit and humor,Americana,Americana,Americana,Americana,Americana,Americana,Americana,Americana,Americana",1.00,0.05,0.26,0.37,19.00
museum rhetoric : building civic identity in national spaces,"""examines the role of museums in promoting cultural heritage and national identity, focusing on rhetorical understandings of public space and civic engagement""--provided by publisher",museums; national museums; rhetoric; nationalism; cultural property,"museology; museums; museums; museums; nationalism; communication in politics; political culture; social change; discourse analysis, linguistic; language and languages; power (social sciences); ideology; collective memory; historical consciousness; historic sites; monuments; memorials; memorialization; commemorative events; civil rights movements; civil rights workers; human rights; freedom of expression; democracy; citizenship; multiculturalism; postcolonialism; globalization; global village; mass media; popular culture; visual arts; art","Museum studies,Museums,Museums,Museums,Nationalism,Communication in politics,Political culture,Social change,Discourse analysis,Language and languages,Power (Social sciences),Ideology,Collective memory,New Historicism,Historic sites,Monuments,Memorials,Memorialization,Commemorative boxes,Civil rights movements,Civil rights workers,Human rights,Freedom of expression,Democracy,Citizenship,Multiculturalism,Postcolonialism,Globalization,Village communities,Mass media,Popular culture,Graphic arts,Art",0.40,0.06,0.28,0.49,32.00
museum activism,"""only a decade ago, the notion that museums, galleries and heritage organisations might engage in activist practice, with explicit intent to act upon inequalities, injustices and environmental crises, was met with scepticism and often derision seeking to purposefully bring about social change was viewed by many within and beyond the museum community as inappropriately political and antithetical to fundamental professional values today, although the idea remains controversial, the way we think about the roles and responsibilities of museums as knowledge-based, social institutions is changing museums and activism examines the increasing significance of this activist trend in thinking and practice at this crucial time in the evolution of museum thinking and practice, this ground-breaking volume brings together more than fifty contributors working across six continents to explore, analyse and critically reflect upon the museum's relationship to activism including contributions from practitioners, artists, activists and researchers, this wide-ranging examination of new and divergent expressions of the inherent power of museums as forces for good, and as activists in civil society, aims to encourage further experimentation and enrich the debate in this nascent and uncertain field of museum practice museum activism elucidates the largely untapped potential for museums as key intellectual and civic resources to address inequalities, injustice and environmental challenges this makes the book essential reading for scholars and students of museum and heritage studies, gallery studies, arts and heritage management and politics it will be a source of inspiration to museum practitioners and museum leaders around the globe""-- provided by publisher",museums; museums; museums; museum exhibits; social justice; social influence,museums; museology; cultural property; art museums; public history; social responsibility of museums; museums; museology; culture diffusion; art museums; public history; social responsibility of museums; museums; museology; culture diffusion; art museums; public history; social responsibility of museums; museums; museology; culture diffusion; art museums; public history; social responsibility of museums; museums; museology; culture diffusion; art museums; public history; social responsibility of museums; museums; museology,"Museums,Museum studies,Cultural property,Art museums,Public history,For-profit museums,Museums,Museum studies,Culture diffusion,Art museums,Public history,For-profit museums,Museums,Museum studies,Culture diffusion,Art museums,Public history,For-profit museums,Museums,Museum studies,Culture diffusion,Art museums,Public history,For-profit museums,Museums,Museum studies,Culture diffusion,Art museums,Public history,For-profit museums,Museums,Museum studies",0.25,0.14,1.00,0.67,7.00
mental-floss : the book : the greatest lists in the history of listory,"for ten years, the knowledge seekers at mental-floss have been hunting and trapping the world's rarest facts, locking them into captivating lists for the world to admire this book is packed with a decade's worth of the smartest, quirkiest stories around",lists,"miscellaneous; trivia questions and answers; curiosities and wonders; popular culture; mass media; social life and customs; civilization, western; history, modern; science; technology; inventions; arts; literature; music; sports; food; travel; geography; language and languages; religion; philosophy; education; medicine; health; animals; plants; weather; space sciences; astronomy; mathematics; computers; internet; business; finance; economics; government; politics; military art and science; war;","Additions,Trivia,Curiosities and wonders,Popular culture,Mass media,Social life and customs,Civilization, Western,History, Modern,Science,Technology,Inventions,Arts,Literature,Music,Sports,Food,Travel,Geography,Language and languages,Religion,Philosophy,Education,Medicine,Health,Animals,Plants,Weather,Space sciences,Astronomy,Mathematics,Computers,Internet,Business,Finance,Economics,Government,Politics and government,Military art and science,War,Change",0.00,0.00,0.00,0.21,42.00
snapshots of museum experience : understanding child visitors through photography,"""children are one of the major audiences for museums, but their visits are often seen solely from the point of view of museum learning in snapshots of museum experience, will buckingham draws upon elee kirk's research amongst child visitors to the oxford university museum of natural history, to take a different approach using a method of photo-elicitation with four- and five-year-old child visitors to the museum, the book investigates children's experience of the museum, and in the process undermines many of our assumptions about the interests, needs and demands of child museum visitors drawing together the fields of museum studies and childhood studies, the book considers children as active creators of the museum visit it investigates the way that children navigate and take control of the physical and social spaces of the museum, finding their own idiosyncratic pathways through these spaces it also explores how elements of the museum 'light up', becoming salient to the child visitor finally, it investigates how children make sense through intellectually and imaginatively engaging with these elements of the museum visit snapshots of museum experiences gives a unique insight into the sheer diversity of children's museum experiences and discusses how museums might cater more successfully to the needs of their child visitors as such, it should be of great interest to academics, researchers and students in the fields of museum studies, visitor studies and childhood studies it should also be essential reading for museum educators and exhibition designers""-- provided by publisher",museums and children,"children; museums; art appreciation; museology; visual communication; photographs in education; educational anthropology; ethnography; qualitative research; action research in education; participatory action research; arts and society; cultural property; material culture; popular culture; sociology of knowledge; sociological aspects; cognition in children; cognitive development in children; perception in children; imagination in children; aesthetics in children; aesthetic awareness in children; creative ability in children; creativity in children; psychology of learning; learning, psychology of","Children,Museums,Art appreciation,Museum studies,Visual communication,Pictures in education,Educational anthropology,Ethnology,Qualitative research,Action research in education,Action research,Arts and society,Cultural property,Material culture,Popular culture,Knowledge, Sociology of,Sociological aspects,Cognition in children,Executive ability in children,Perception in children,Imagination in children,Beauty, Personal, in children,Skin in art,Creative ability in children,Creative ability in children,Learning, Psychology of,Learning, Psychology of",0.00,0.00,0.00,0.35,28.00
nomenclature 30 for museum cataloging,"""nomenclature 30 is a much-expanded edition of robert g chenhall's system for classifying man-made objects, originally published in 1978 the chenhall system is the standard cataloging tool for thousands of museums and historical organizations across the united states and canada in this third edition, three new hierarchical levels of terms allow for more precise definitions of objects and their functions every classification and object term has been reviewed and revised as needed by a professional task force appointed by the american association for state and local history""--publisher's description",museum registration methods,museums; collections management (museums); museum techniques; terminology; information storage and retrieval systems -- museums; library science; libraries; archives; archival resources; cultural property; antiquities; artifacts; material culture; archaeology; ethnological museums; social sciences; anthropology; human beings; art; architecture; decorative arts; furniture design; interior decoration; textiles; clothing and dress; costume; jewelry; clocks and watches; musical instruments; books; manuscripts; printing; photography; painting; sculpture,"Museums,Museum docents,Museum techniques,Terminology,Museum information networks,Library science,Libraries,Archives,Archival resources,Cultural property,Antiquities,Alien artifacts,Material culture,Archaeology,Ethnological museums and collections,Social sciences,Anthropology,Human beings,Art,Architecture,Decorative arts,Furniture design,Interior decoration,Textile fabrics,Clothing and dress,Costume,Jewelry,Clocks and watches,Musical instruments,Books,Manuscripts,Printing,Photography,Painting,Sculpture",0.00,0.00,0.00,0.26,35.00
the digital humanities : a primer for students and scholars,"""the digital humanities is a comprehensive introduction and practical guide to how humanists use the digital to conduct research, organize materials, analyze, and publish findings it summarizes the turn toward the digital that is reinventing every aspect of the humanities among scholars, libraries, publishers, administrators, and the public beginning with some definitions and a brief historical survey of the humanities, the book examines how humanists work, what they study, and how humanists and their research have been impacted by the digital and how, in turn, they shape it it surveys digital humanities tools and their functions, the digital humanists' environments, and the outcomes and reception of their work the book pays particular attention to both theoretical underpinnings and practical considerations for embarking on digital humanities projects it places the digital humanities firmly within the historical traditions of the humanities and in the contexts of current academic and scholarly life""-- provided by publisher",digital humanities; humanities; humanities; humanities; humanists; digital media; digital communications; information storage and retrieval systems,humanities; computer-assisted instruction; information technology; internet in education; social sciences -- data processing; arts -- data processing; library science -- data processing; communication in learning and scholarship; electronic publishing; web sites; online social networks; blogs; twitter; facebook (social networking site); google books; open access publications; e-books; digitization; digital preservation; digital media; digital art; digital culture; digital divide; digital literacy; digital rights management; intellectual property; copyright law; fair use,"Humanities,Computer-assisted instruction,Information technology,Internet in education,Scaling (Social sciences),Optical data processing,Integrated library systems (Computer systems),Communication in learning and scholarship,Electronic publishing,Web sites,Online social networks,Blogs,Microblogs,Online social networks,Reference books,Open access publishing,Electronic books,Digitization,Digital preservation,Digital media,Technology in art,Technology in popular culture,Digital divide,Information literacy,Digital rights management,Intellectual property,Copyright,Check reins",0.33,0.07,0.31,0.47,28.00
signs & symbols,"from simple shapes and colors to gods, mythical beasts, sacred rituals, and global branding, over 2,000 signs and symbols are explained through text, illustrations, and photography grouped thematically and comprehensively cross-referenced includes the physical world, animals, plants, humans, colors, shapes, patterns, numbers, picture writing, alphabets, international signs, professional signs, brands and logos, heraldic emblems, national flags, sign languages and signals, and symbolic gestures",signs and symbols; signs and symbols; signs and symbols,"symbolism; communication in art; semiotics; visual literacy; pictorial works; graphic arts; design; advertising; trademarks; heraldry; coats of arms; flags; handbooks, vade-mecums, etc; reference books; dictionaries; encyclopedias; lexicons; glossaries, vocabulary; language and culture; nonverbal behavior; body language; human beings; human figure in art; drawing; painting; color; pattern perception; mathematics; numerals; hierog","Symbolism,Communication in art,Semiotics,Visual literacy,Pictorial works,Graphic arts,Design,Advertising,Trademarks,Heraldry,Coats,Flags,Handbooks, vade-mecums, etc,Reference books,Dictionaries,Encyclopedias,Lexicology,Glossaries, vocabularies, etc,Language and culture,Nonverbal communication,Body language,Human beings,Human figure in art,Drawing,Painting,Color,Pattern perception,Mathematics,Numerals,Bjönnfu",0.00,0.00,0.00,0.23,33.00
the digital humanities and the digital modern,"this book provides new critical and methodological approaches to digital humanities, intended to guide technical development as well as critical analysis informed by the history of technology and culture and new perspectives on modernity, smithies grounds his claims in the engineered nature of computing devices and their complex entanglement with our communities, our scholarly traditions, and our sense of self the distorting mentalité of the digital modern informs our attitudes to computers and computationally intensive research, leading scholars to reject articulations of meaning that admit the interdependence of humans and the complex socio-technological systems we are embedded in by framing digital humanities with the digital modern, researchers can rebuild our relationship to technical development, and seek perspectives that unite practical and critical activity this requires close attention to the cyber-infrastructures that inform our research, the software-intensive methods that are producing new knowledge, and the ethical issues implicit in the production of digital humanities tools and methods the book will be of interest to anyone interested in the intersection of technology with humanities research, and the future of digital humanities -- from publisher's website",digital humanities,digital media; digital art; digital communication in medicine; medical informatics; health services administration; public health; telemedicine; telehealth; m-health; mobile phones;,"Digital media,Technology in art,Telecommunication in medicine,Medical informatics,Health services administration,Public health,Telemeter,Nursing telematics,One health,Smartphones,Change",0.00,0.00,0.00,0.30,11.00
