title,abstract,true_labels,predicted_labels,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the world almanac for kids 2012,"offers facts on a range of topics, from animals to weather and from computers to sports","almanacs, children's",children's questions and answers; science; history; geography; biography; education; health; social sciences; technology; recreation; religion; miscellaneous subjects; calendar -- 2012 [assistant] miscellaneous publications; calendars [assistant] miscellaneous publications; calendars [assistant] miscellaneous publications; calendars [assistant] miscellaneous publications; calendars [assistant] miscellaneous publications; calendars [assistant] miscellaneous publications; calendars [assistant] miscellaneous publications; calendars [assistant] miscellaneous publications; calendars [assistant] miscellaneous publications; calendars [assistant,"Children's questions and answers,Science,History,Geography,Biography,Education,Health,Social sciences,Technology,Recreation,Religion,Subject access,Library editions,Library editions,Library editions,Library editions,Library editions,Library editions,Library editions,Library editions,Library editions,Calendars",0.00,0.00,0.00,0.37,14.00
humanities and pedagogy : teaching of humanities today,"contributed papers presented at the international seminar on ""teaching of humanities"", what is needed now held in 2001 at ciefl",humanities; humanities,"humanism; education, higher; college teachers; universities and colleges; english language; philosophy; literature; history; religion; art appreciation; music appreciation; social sciences; arts; culture; civilization; cultural policy; multicultural education; intercultural communication; cross-cultural studies; comparative literature; indian literatures; indians -- intellectual life; hinduism; christianity and other religions; islamic civilization; buddhism; hindusim; hindustani language; sanskrit language; ur","Humanism,Education, Higher,College teachers,Universities and colleges,English language,Philosophy,Literature,History,Religion,Art appreciation,Music appreciation,Social sciences,Arts,Culture,Civilization,Cultural policy,Multicultural education,Intercultural communication,Cross-cultural studies,Comparative literature,Indian literature,Indian intellectuals,Hinduism,Christianity and other religions,Islamic civilization,Buddhism,Hindu,Hindustani language,Sanskrit language,Sō̜ ū",0.00,0.00,0.00,0.37,31.00
beyond coincidence : amazing stories of coincidence and the mystery behind them,"from magic and religion to subatomic particles and probability, a look at the baffling complexities of coincidence recounts more than two hundred bizarre stories of synchronicity",curiosities and wonders; coincidence,coincidences; paranormal psychology; parapsychology; psychic phenomena; precognition; extrasensory perception; psychokinesis; telepathy; clairvoyance; ghosts; fortune-telling; astrology; numerology; alchemy; magnetism; spiritualism; mysticism; religious experiences; miracles; supernatural; occultism; divination; prophecy; prediction (psychology); chance; causality; determinism; free will and determinism; time; space-time continuum; quantum theory,"Coincidence,Paradoxical psychotherapy,Parapsychology,Psychic energy (Psychoanalysis),Precognition,Extrasensory perception,Psychokinesis,Telepathy,Clairvoyance,Ghosts,Fortune-telling,Astrology,Numerology,Alchemy,Magnetism,Spiritualism,Mysticism,Experience (Religion),Miracles,Supernatural,Occultism,Divination,Prophecy,Prediction (Psychology),Chance,Causality (Physics),Determinism (Philosophy),Free will and determinism,Time,Continuum (Mathematics),Quantum theory",0.50,0.03,0.25,0.29,31.00
the new book of knowledge,"an illustrated encyclopedia with articles on history, literature, art and music, geography, mathematics, science, sports, and other topics some articles include activities, games, or experiments",children's encyclopedias and dictionaries,schools [,High schools,0.00,0.00,0.00,0.21,1.00
the future without a past : the humanities in a technological society,"""argues that technological imperatives like rationalization, universalism, monism, and autonomy have transformed the humanities and altered the relation between humans and nature examines technology and its impact on education, historical memory, and technological and literary values in criticism and theory, concluding with an analysis of the fiction of don delillo""--provided by publisher",humanities; technology and civilization; science and the humanities; humanities; learning and scholarship,humanistic counter-revolution; postmodernism; modern movement (literature); literature; science and civilization; technology and civilization; humanity; social change; philosophy and culture; cultural pluralism; multiculturalism; identity politics; critical pedagogy; curriculum planning; educational sociology; higher education and state; universities and colleges -- united states; history -- study and teaching; historiography; historic preservation; collective memory; popular culture; mass media; information superhighway; communication in learning and scholarship,"Society for the New Message,Postmodernism,Movement in literature,Literature,Science and civilization,Technology and civilization,Humanity,Social change,First philosophy,Cultural pluralism,Multiculturalism,Identity politics,Critical pedagogy,Curriculum planning,Educational sociology,Higher education and state,State universities and colleges,History in mathematics education,Historiography,Historic preservation,Collective memory,Popular culture,Mass media,Information superhighway,Communication in learning and scholarship",0.25,0.04,0.43,0.45,25.00
"massachusetts treasures : a guide to marvelous, must-see museums","""well known for its world-renowned art museums--from the clark art institute in williamstown to the museum of fine arts in boston--massachusetts is also home to numerous institutions with more eclectic collections and, oftentimes, lower profiles these include mansfield's national black doll museum of history and culture, watertown's plumbing museum, and granville's noble and cooley center for historic preservation in massachusetts treasures, chuck d'imperio explores more than forty museums scattered throughout the bay state, from cape cod to the berkshires many--but not all--might be considered ""offbeat,"" and each and every one is enchanting through personal visits and interviews with founders and directors, d'imperio offers an inside glimpse into some of the commonwealth's most unique museums, providing a valuable guide for road warriors and history buffs discovering massachusetts either for the first or the tenth time""-- provided by publisher",museums,"museums; cultural property; historical museums; science museums; children's museums; natural history museums; art museums; performing arts museums; industrial museums; transportation museums; food museums; maritime museums; military museums; aviation museums; railroad museums; ethnic museums; women's studies centers; universities and colleges -- curricula; education, higher -- curricula; educational innovations; social sciences -- study and teaching; humanities -- study and teaching; technology -- study and teaching; engineering -- study and teaching; mathematics --","Museums,Cultural property,Historical museums,Science museums,Children's museums,Natural history museums,Art museums,Performing arts in museums,Industrial museums,Transportation museums,Small museums,Maritime museums,Military museums,Aeronautical museums,Railroad museums,Museums and minorities,Women's institutes,Universities and colleges,Curricula,Educational innovations,Social sciences,Science and the humanities,Educational technology,Engineering teachers,Mathematics",1.00,0.04,0.63,0.61,25.00
museum rhetoric : building civic identity in national spaces,"""examines the role of museums in promoting cultural heritage and national identity, focusing on rhetorical understandings of public space and civic engagement""--provided by publisher",museums; national museums; rhetoric; nationalism; cultural property,museums; nationalism; patriotism; communication in politics; political culture; public opinion; social movements; collective memory; commemoration; monuments; memorialization; symbolism; symbolic interactionism; persuasion (psychology); discourse analysis; language and languages -- sociological aspects; power (social sciences); postcolonialism; multiculturalism; globalization; civil society; democracy; citizenship; community development; urban renewal; city planning; architecture; art appreciation; aesthetics; visual perception; image processing; semiotics;,"Museums,Nationalism,Patriotism,Communication in politics,Political culture,Public opinion,Social movements,Collective memory,Commemoration,Monuments,Memorialization,Symbolism,Symbolic interactionism,Persuasion (Psychology),Discourse analysis,Language and culture,Power (Social sciences),Postcolonialism,Multiculturalism,Globalization,Civil society,Democracy,Citizenship,Community development,Urban renewal,City planning,Architecture,Art appreciation,Aesthetics,Visual perception,Image processing,Semiotics,Change",0.40,0.06,0.75,0.44,33.00
museum activism,"""only a decade ago, the notion that museums, galleries and heritage organisations might engage in activist practice, with explicit intent to act upon inequalities, injustices and environmental crises, was met with scepticism and often derision seeking to purposefully bring about social change was viewed by many within and beyond the museum community as inappropriately political and antithetical to fundamental professional values today, although the idea remains controversial, the way we think about the roles and responsibilities of museums as knowledge-based, social institutions is changing museums and activism examines the increasing significance of this activist trend in thinking and practice at this crucial time in the evolution of museum thinking and practice, this ground-breaking volume brings together more than fifty contributors working across six continents to explore, analyse and critically reflect upon the museum's relationship to activism including contributions from practitioners, artists, activists and researchers, this wide-ranging examination of new and divergent expressions of the inherent power of museums as forces for good, and as activists in civil society, aims to encourage further experimentation and enrich the debate in this nascent and uncertain field of museum practice museum activism elucidates the largely untapped potential for museums as key intellectual and civic resources to address inequalities, injustice and environmental challenges this makes the book essential reading for scholars and students of museum and heritage studies, gallery studies, arts and heritage management and politics it will be a source of inspiration to museum practitioners and museum leaders around the globe""-- provided by publisher",museums; museums; museums; museum exhibits; social justice; social influence,museums; art museums; cultural property; public opinion; social responsibility of business; human rights; sustainability; museums -- social aspects; museums -- political activity; museums -- philosophy; museums -- ethics; museums -- administration; museums -- planning; museums -- finance; museums -- personnel management; museums -- marketing; museums -- evaluation; museums -- collection management; museums -- acquisition of objects; museums -- curators; museums -- employees; museums -- visitors' surveys; museums -- attendance; museums -- publicity; museums,"Museums,Art museums,Cultural property,Public opinion,Social responsibility of business,Human rights,Sustainability,Museums and community,Museums and social media,Museums and the Internet,Museums and social media,Museums,Museums,Museum finance,Museum attendance,Commercial museums,Museums in art,For-profit museums,Museum objects,Museum curators,Museum visitors,Museum visitors,Museum attendance,Commercial museums,Museums",0.25,0.06,0.63,0.74,18.00
mental-floss : the book : the greatest lists in the history of listory,"for ten years, the knowledge seekers at mental-floss have been hunting and trapping the world's rarest facts, locking them into captivating lists for the world to admire this book is packed with a decade's worth of the smartest, quirkiest stories around",lists,trivia; general information resources; popular culture; science; technology; social sciences; arts; literature; education; sports; food; travel; animals; music; movies; television programs; books; games; jokes; humorists; internet users' preferences; web sites; online searching; computers; computer networks; software engineering; programming languages (electronic computers); electronic data processing; business enterprises; marketing; advertising; consumer behavior; mass media; communication in management; leadership; psychology; philosophy; religion,"Trivia,Information resources,Popular culture,Science,Technology,Social sciences,Arts,Literature,Education,Sports,Food,Travel,Animals,Music,Films,Television programs,Books,Games,Humor,Humorists,Internet users,Web sites,Internet searching,Computers,Computer networks,Software engineering,Programming languages (Electronic computers),Electronic data processing,Business enterprises,Marketing,Advertising,Consumer behavior,Mass media,Communication in management,Leadership,Psychology,Philosophy,Religion",0.00,0.00,0.00,0.22,38.00
snapshots of museum experience : understanding child visitors through photography,"""children are one of the major audiences for museums, but their visits are often seen solely from the point of view of museum learning in snapshots of museum experience, will buckingham draws upon elee kirk's research amongst child visitors to the oxford university museum of natural history, to take a different approach using a method of photo-elicitation with four- and five-year-old child visitors to the museum, the book investigates children's experience of the museum, and in the process undermines many of our assumptions about the interests, needs and demands of child museum visitors drawing together the fields of museum studies and childhood studies, the book considers children as active creators of the museum visit it investigates the way that children navigate and take control of the physical and social spaces of the museum, finding their own idiosyncratic pathways through these spaces it also explores how elements of the museum 'light up', becoming salient to the child visitor finally, it investigates how children make sense through intellectually and imaginatively engaging with these elements of the museum visit snapshots of museum experiences gives a unique insight into the sheer diversity of children's museum experiences and discusses how museums might cater more successfully to the needs of their child visitors as such, it should be of great interest to academics, researchers and students in the fields of museum studies, visitor studies and childhood studies it should also be essential reading for museum educators and exhibition designers""-- provided by publisher",museums and children,museums; children; museum exhibits; museum attendance; visual anthropology; ethnology; museums -- educational aspects; museum techniques; museum education; museum curators; museum employees; museum technicians; museum directors; museum management; museum administration; museum public relations; museum publicity; museum marketing; museum fund raising; museum finance; museum personnel management; museum staff development programs; museum volunteers; museum interns; museum internships; museum volunteer work; museum internship programs; museum collections maintenance; museum collection managers; museum,"Museums,Children,Museum exhibits,Museum attendance,Visual anthropology,Ethnology,Museums and schools,Museum techniques,Schools of museum studies,Museum curators,Volunteer workers in museums,Museum curators,Museum directors,Museum cooperation,Museum registrars,Museum cooperation,Commercial museums,Museum finance,For-profit museums,Museum finance,Museum cooperation,Museum outreach programs,Older volunteers in museums,Museum registrars,Museum cooperation,Volunteer workers in museums,Schools of museum studies,Museum docents,Museum curators,Museums",0.00,0.00,0.00,0.67,20.00
nomenclature 30 for museum cataloging,"""nomenclature 30 is a much-expanded edition of robert g chenhall's system for classifying man-made objects, originally published in 1978 the chenhall system is the standard cataloging tool for thousands of museums and historical organizations across the united states and canada in this third edition, three new hierarchical levels of terms allow for more precise definitions of objects and their functions every classification and object term has been reviewed and revised as needed by a professional task force appointed by the american association for state and local history""--publisher's description",museum registration methods,museums; art collections; artifacts; collecting of antiquities; antiques dealers' catalogs; museums -- collection management; museums -- administration; museum techniques; museum practice; museum curators; museum technicians; museum personnel; museum exhibits; museum visitors; museum attendance; museum education; museum services; museum libraries; museum publications; museum public relations; museum fund raising; museum finance; museum grants; museum management; museum employees; museum volunteers; museum buildings; museum facilities design and construction; museum equipment and,"Museums,Art collections,Alien artifacts,Antiquities,Antiques business,For-profit museums,Museums,Museum techniques,Museum studies,Museum curators,Museum curators,Museum curators,Museum exhibits,Museum visitors,Museum attendance,Schools of museum studies,Museum attendance,Museum libraries,Museum publications,Museum cooperation,For-profit museums,Museum finance,Museum loans,Museum cooperation,Volunteer workers in museums,Older volunteers in museums,Museum buildings,Museum buildings,Museum objects",0.00,0.00,0.00,0.55,22.00
the digital humanities : a primer for students and scholars,"""the digital humanities is a comprehensive introduction and practical guide to how humanists use the digital to conduct research, organize materials, analyze, and publish findings it summarizes the turn toward the digital that is reinventing every aspect of the humanities among scholars, libraries, publishers, administrators, and the public beginning with some definitions and a brief historical survey of the humanities, the book examines how humanists work, what they study, and how humanists and their research have been impacted by the digital and how, in turn, they shape it it surveys digital humanities tools and their functions, the digital humanists' environments, and the outcomes and reception of their work the book pays particular attention to both theoretical underpinnings and practical considerations for embarking on digital humanities projects it places the digital humanities firmly within the historical traditions of the humanities and in the contexts of current academic and scholarly life""-- provided by publisher",digital humanities; humanities; humanities; humanities; humanists; digital media; digital communications; information storage and retrieval systems,humanities; computer science; internet publishing; information technology; social media; online social networks; web 20 -- social aspects; knowledge management; electronic data processing; digital preservation; digitization; archives; cultural property; intellectual property; copyright law; open access publishing; digital scholarship; digital culture; new media studies; multimedia systems; digital art; virtual reality; cyberfeminism; women's rights; gender identity; feminist theory; postmodernism; poststructuralism; critical pedagogy;,"Humanities,Computer science,Internet publishing,Information technology,Social media,Online social networks,Social aspects,Knowledge management,Electronic data processing,Digital preservation,Digitization,Archives,Cultural property,Intellectual property,Copyright,Open access publishing,Open scholarship,Technology in popular culture,Media literacy,Multimedia systems,Technology in art,Virtual reality,Cyberfeminism,Women's rights,Gender identity,Feminist theory,Postmodernism,Poststructuralism,Critical pedagogy,Change",0.17,0.03,0.28,0.44,30.00
signs & symbols,"from simple shapes and colors to gods, mythical beasts, sacred rituals, and global branding, over 2,000 signs and symbols are explained through text, illustrations, and photography grouped thematically and comprehensively cross-referenced includes the physical world, animals, plants, humans, colors, shapes, patterns, numbers, picture writing, alphabets, international signs, professional signs, brands and logos, heraldic emblems, national flags, sign languages and signals, and symbolic gestures",signs and symbols; signs and symbols; signs and symbols,signs and symbols; symbolism in art; visual communication; language and culture; pictorial works; iconography; graphic design (typographic elements); trademarks,"Signs and symbols,Symbolism in art,Visual communication,Language and culture,Pictorial works,Iconography,Graphic design (Typography),Trademarks",1.00,0.12,0.39,0.41,8.00
the digital humanities and the digital modern,"this book provides new critical and methodological approaches to digital humanities, intended to guide technical development as well as critical analysis informed by the history of technology and culture and new perspectives on modernity, smithies grounds his claims in the engineered nature of computing devices and their complex entanglement with our communities, our scholarly traditions, and our sense of self the distorting mentalité of the digital modern informs our attitudes to computers and computationally intensive research, leading scholars to reject articulations of meaning that admit the interdependence of humans and the complex socio-technological systems we are embedded in by framing digital humanities with the digital modern, researchers can rebuild our relationship to technical development, and seek perspectives that unite practical and critical activity this requires close attention to the cyber-infrastructures that inform our research, the software-intensive methods that are producing new knowledge, and the ethical issues implicit in the production of digital humanities tools and methods the book will be of interest to anyone interested in the intersection of technology with humanities research, and the future of digital humanities -- from publisher's website",digital humanities,"humanism; computer science; internet; information storage and retrieval systems; web sites; social media; online social networks; blogs; blogging; digital art; digital preservation; cultural property; museum exhibits; museums; archives; libraries; library resources; digitization; electronic publishing; e-books; academic writing; scholarship; universities and colleges; education, higher; educational technology; internet in literature; communication in learning and scholarship; language arts; literary criticism; linguistics; rhetoric; composition (language arts);","Humanism,Computer science,Internet,Information storage and retrieval systems,Web sites,Social media,Online social networks,Blogs,Blogs,Technology in art,Digital preservation,Cultural property,Museum exhibits,Museums,Archives,Libraries,Library resources,Digitization,Electronic publishing,Electronic books,Academic writing,Scholarships,Universities and colleges,Education, Higher,Educational technology,Internet in literature,Communication in learning and scholarship,Language arts,Criticism, Personal, in literature,Linguistics,Rhetoric,Composition (Language arts),Change",0.00,0.00,0.00,0.34,35.00
